,index,geometry,center_of_mass,tipologia,DESIGNACAO,coordinates,freguesia,concelho,cidade
60,86,"[[[-9.20572018338699, 38.7363255678387], [-9.20579152938349, 38.7362104491629], [-9.20589771653826, 38.7360391144301], [-9.20593410190053, 38.7359804060546], [-9.20597539026762, 38.7359943258503], [-9.20591221624527, 38.7360953324036], [-9.20585642188299, 38.7361845408309], [-9.20582451821567, 38.7362355495584], [-9.20580446781852, 38.7362676080643], [-9.20574118779495, 38.7363687831036], [-9.20572576461985, 38.7363934405913], [-9.20580441930948, 38.7364222063648], [-9.20585590265673, 38.7364410345845], [-9.20588686039807, 38.7364523574404], [-9.20594832492644, 38.736474958301], [-9.20597718510155, 38.7364855699261], [-9.20612236812285, 38.7365387702728], [-9.20621467900142, 38.7365725951423], [-9.20629222696665, 38.7366010118883], [-9.20648119477318, 38.7366702556743], [-9.20662991356342, 38.7367247486977], [-9.20655839149712, 38.7368307474875], [-9.20645028554089, 38.7369909677654], [-9.20633458522726, 38.7371624389549], [-9.20621999882453, 38.7373322602699], [-9.20615660202001, 38.7374262186366], [-9.20617252286177, 38.7374923364789], [-9.20620040836483, 38.7376081383769]]]",[-9.20605319 38.73658292],Percurso Ciclopedonal,Ponte ciclopedonal sobre a CRIL - Bairro da Boavista - Alfragide,"(38.73658291907682, -9.206053191686085)",Alfragide,Lisboa,Alfragide
61,87,"[[[-9.11801702349623, 38.7481980235415], [-9.11794833022478, 38.7482184698442], [-9.11775586078524, 38.748275759955], [-9.11768798857397, 38.748295962427], [-9.11765380857571, 38.7483061358225], [-9.11759510457022, 38.7483236094544], [-9.11752947096063, 38.7483474073837], [-9.11751210652616, 38.7483537029604], [-9.11732885739473, 38.7484201469723], [-9.1172673713068, 38.7484424413874], [-9.11725593036333, 38.7484465896247], [-9.11718537398597, 38.7484771994189], [-9.11718307429883, 38.7484781970692], [-9.11717827819353, 38.7484802778425], [-9.11704345095087, 38.7485387685657], [-9.11699650140087, 38.7485591370045], [-9.11689288252947, 38.7486040886496], [-9.11675567924286, 38.7486693323089], [-9.11673712274405, 38.7486781570056], [-9.11663163717348, 38.748728317497]]]",[-9.11730779 38.74844209],Percurso Ciclopedonal,Ponte ciclopedonal sobre Av do Santo Condestável,"(38.74844208623675, -9.117307792664885)",Marvila,Lisboa,Lisboa
62,88,"[[[-9.09461850557776, 38.7860657210796], [-9.09496328167875, 38.7861000329474]]]",[-9.09479089 38.78608288],Percurso Ciclopedonal,Passeio do Tejo,"(38.7860828770135, -9.094790893628254)",Parque das Nações,Lisboa,Lisboa
63,91,"[[[-9.12257118194942, 38.7743999151918], [-9.12258925515462, 38.7742392339989], [-9.12260825721782, 38.7740703002691], [-9.12261987243443, 38.773967035596], [-9.12263031175636, 38.7738742241654], [-9.12263645353795, 38.7738196257305]]]",[-9.12260922 38.77406172],30+Bici,Rua dos Eucaliptos,"(38.77406172249196, -9.122609222008434)",Olivais,Lisboa,Lisboa
64,92,"[[[-9.15567807341772, 38.7494244298323], [-9.1555722204362, 38.7492169868847], [-9.1554546659998, 38.7489866122582], [-9.15544186231207, 38.7489615191466]]]",[-9.15553671 38.74914739],30+Bici,Rua Prof.ª Teresa Ambrósio,"(38.74914738703045, -9.155536705541447)",None,Lisboa,Lisboa
65,94,"[[[-9.19264767928523, 38.7245111183578], [-9.19259085635193, 38.7244122497858], [-9.19251681091801, 38.724396659049], [-9.19167610638968, 38.724324778742], [-9.19170740908407, 38.7242576367063], [-9.1922273171396, 38.7241625705178], [-9.19244816974883, 38.7241226186703], [-9.19258561647889, 38.7240982183589], [-9.19259717330502, 38.7240601811612], [-9.19252697805039, 38.723836399466], [-9.1924799943644, 38.7237790021439], [-9.19244288855329, 38.7236554370426], [-9.19241387296962, 38.7235114646125], [-9.19231150365478, 38.72336652613], [-9.19231952201701, 38.7231923915521], [-9.19237963817413, 38.7229597631461], [-9.19252313415928, 38.7226352034663], [-9.19257241214252, 38.7223860961928], [-9.19266503563485, 38.7222029041815], [-9.19257748762389, 38.7220130605707], [-9.19235299144786, 38.7218741912837], [-9.19218476124966, 38.7219586039828], [-9.19192243522037, 38.7221267576624], [-9.19161786501656, 38.7223035812101], [-9.19151268846647, 38.722354266944], [-9.19143854960775, 38.7223549390623], [-9.19137439193015, 38.7223140771969], [-9.19134127104563, 38.7222232023371], [-9.19136171939646, 38.7221732853483], [-9.19140224689048, 38.7220485876898], [-9.19147381297424, 38.7218738765984], [-9.19151397305732, 38.7217243168309], [-9.19149168944838, 38.7216499212517], [-9.19139600270096, 38.7216259230908], [-9.19125856495407, 38.7216437459715], [-9.1908583080028, 38.7217965698073], [-9.19075251970001, 38.7218058169383], [-9.19067801612528, 38.7217816260935], [-9.19059182007882, 38.7216829429771], [-9.19050635795595, 38.7215915711052]]]",[-9.19188099 38.7227698 ],Trilho,Parque Florestal de Monsanto,"(38.7227698020809, -9.191880989782865)",São Francisco Xavier,Lisboa,Lisboa
66,95,"[[[-9.16373862591939, 38.7808905298683], [-9.16379420738097, 38.7808807420694], [-9.16416503821848, 38.780808217638], [-9.16437338448232, 38.7807682092464], [-9.16437791468629, 38.7807673380979], [-9.16457619981894, 38.7807298632982], [-9.16458249161921, 38.7807514004211], [-9.16461135538758, 38.7808235418573], [-9.16461668509216, 38.7808369052909], [-9.16465550039728, 38.7809336327221], [-9.16468179498398, 38.7810000106876], [-9.16478052971516, 38.7810648731916], [-9.16484184691984, 38.7811061811305], [-9.16503318987196, 38.7811319527121], [-9.16512425927884, 38.781144540882]]]",[-9.1645302 38.7809092],Percurso Ciclopedonal,Passagem Ciclopedonal sobre a Calçada de Carriche,"(38.7809091959409, -9.164530201584826)",Lumiar,Lisboa,Lisboa
67,98,"[[[-9.1744164810868, 38.7599227485141], [-9.17445292483958, 38.7599221159765], [-9.17448351545682, 38.7599343656859], [-9.17451134318083, 38.7599501199511], [-9.17452240739598, 38.7599533140492], [-9.17453400299592, 38.7599550113061], [-9.17454579949925, 38.759955163349], [-9.17455746069869, 38.7599537658445], [-9.17456865424321, 38.7599508586223], [-9.17457906111019, 38.7599465245398], [-9.17458838469783, 38.7599408871206], [-9.1745963592784, 38.7599341070341], [-9.17460275757167, 38.7599263775165], [-9.17460739722251, 38.7599179188634], [-9.17461014599816, 38.7599089721512], [-9.17461092555689, 38.7598997923661], [-9.17460971368082, 38.7598906411375], [-9.17460654490913, 38.7598817792809], [-9.17460150955368, 38.7598734593644], [-9.17459475112505, 38.7598659185109], [-9.17458646224244, 38.7598593716393], [-9.17457687914386, 38.7598540053397], [-9.17456627495325, 38.7598499725549], [-9.17455495189629, 38.7598473882221], [-9.17455024633184, 38.7598452937101], [-9.1745460468543, 38.7598426240089], [-9.17454246793432, 38.7598394518901], [-9.17453960712721, 38.7598358638201], [-9.17453754241374, 38.7598319576035], [-9.17453633007451, 38.7598278397174], [-9.17453600315583, 38.7598236224081], [-9.17453657056895, 38.7598194206325], [-9.17451785686495, 38.7584958811118], [-9.17480978328114, 38.7583255133035]]]",[-9.17456286 38.75980535],Zona de Coexistência,Arruamento Escola Básica de São Vicente de Telheiras ,"(38.75980535432783, -9.174562857733648)",Lumiar,Lisboa,Lisboa
68,101,"[[[-9.20025497423389, 38.7377769559274], [-9.20030476066356, 38.737825156507], [-9.20034666437663, 38.7379241816925], [-9.2003057074879, 38.7381861864955], [-9.20026051234763, 38.7385226455017], [-9.20023934444626, 38.7386336641956], [-9.20027692187291, 38.7387048189029], [-9.20040243807769, 38.738857394637], [-9.20045429332744, 38.7389677443519], [-9.20046565971075, 38.7391177879353], [-9.20043982146823, 38.7392216986269], [-9.2003609745391, 38.7394440671953], [-9.20029054212927, 38.7397258894469], [-9.20025018082355, 38.7398766853707], [-9.20021076364717, 38.7399863622588], [-9.20017162854183, 38.7400716385172], [-9.20010713399601, 38.7401756788479], [-9.199990654843, 38.7403233179724], [-9.19986950355222, 38.7404638484367], [-9.19978825722297, 38.7405253656369], [-9.19965685884973, 38.7405909158665], [-9.19938907196188, 38.7406934616047], [-9.19892211779572, 38.7409086493146], [-9.19874428101386, 38.7409209979456], [-9.19862593426339, 38.7409435280258], [-9.19853985499792, 38.7409872134491], [-9.198441255014, 38.7411096618358], [-9.1983738580115, 38.7411817760941], [-9.19828321530438, 38.7412255027111], [-9.19803819172581, 38.7413242632343], [-9.19784310729051, 38.7414046927865], [-9.19761687017947, 38.7415390293449], [-9.19751216165163, 38.7415578590184], [-9.19706530639163, 38.7415905345228], [-9.19673297824555, 38.7416507622311], [-9.19656012711352, 38.7416916620837], [-9.19624568352642, 38.7417267008643], [-9.1960448085508, 38.7417249562126], [-9.1955519927859, 38.7417365935293], [-9.19513724241587, 38.7417796927133], [-9.19472249294413, 38.7418227911707], [-9.19443983624336, 38.7418468112748], [-9.1942761640969, 38.7418911989092], [-9.19413579065566, 38.741967549976], [-9.19405044890704, 38.74206127453], [-9.19401526279566, 38.7421577259263]]]",[-9.19834251 38.74048624],Trilho,Estrada do Barcal,"(38.7404862368181, -9.198342514131308)",Benfica,Lisboa,Lisboa
69,117,"[[[-9.18022413700935, 38.7133331294874], [-9.18022345339142, 38.7133327201374], [-9.1800217025584, 38.7133642029334], [-9.17986559063338, 38.7139244240551], [-9.17962795030812, 38.7149601273586], [-9.17961133506861, 38.715120503928], [-9.17965329088394, 38.7153970663985], [-9.17978265996297, 38.71603385294], [-9.17988571648898, 38.716599661819], [-9.17998858616543, 38.7171526151382], [-9.18004195327983, 38.7173450047224], [-9.18013871980224, 38.7174801329894], [-9.18047859559336, 38.7178183106979], [-9.18118435340306, 38.7185438827855], [-9.1814410523854, 38.7188115917086], [-9.18172872617703, 38.7190364930347], [-9.18206673347236, 38.7192461038733], [-9.18264028352677, 38.7195665668784]]]",[-9.18047805 38.71650369],Trilho,Estrada do Clube de Ténis,"(38.71650368838254, -9.180478046672814)",Alcântara,Lisboa,Lisboa
70,118,"[[[-9.10856214733305, 38.7712945283425], [-9.1085431614395, 38.7712495125459], [-9.10869855830556, 38.7711976022388], [-9.10890006839009, 38.7711302878536], [-9.10902320675429, 38.7710891534325], [-9.10896962584085, 38.7710379615942], [-9.1089138799876, 38.7709847029091], [-9.10877518100602, 38.7708521881129], [-9.10875490153851, 38.7708328128679], [-9.10861792013578, 38.7707019387775], [-9.10858814996723, 38.7706734949821], [-9.10855434546479, 38.770641199088], [-9.10845586855008, 38.7707666299499], [-9.10833544219972, 38.7709200140356], [-9.1082724469421, 38.7710002519587], [-9.10825837393487, 38.7709921219934], [-9.10833261609985, 38.7708980957402], [-9.10844911771073, 38.7707505513632], [-9.10846720259403, 38.7707276489836], [-9.10848162504593, 38.7707093817042]]]",[-9.10859769 38.7709225 ],Percurso Ciclopedonal,Ponte ciclopedonal sobre a Av. Dr. Francisco Luís Gomes,"(38.7709225039237, -9.108597691962029)",Olivais,Lisboa,Lisboa
71,119,"[[[-9.16186102660134, 38.7451988250694], [-9.161839177777, 38.7451659732562], [-9.16175955919506, 38.7450467918601], [-9.16167468816365, 38.7449221761636], [-9.16158492131393, 38.744795697266], [-9.16149935857976, 38.7446651285408], [-9.16141232710006, 38.7445383864494], [-9.1613225324026, 38.7444097608208], [-9.16123703704204, 38.7442839585326], [-9.16115030200643, 38.7441564983099], [-9.1610626210448, 38.744026663388], [-9.16097495894781, 38.7438982582404], [-9.16088696716909, 38.7437679492142], [-9.1608011735679, 38.743642386817], [-9.16071040779157, 38.7435097182492], [-9.16062303495211, 38.7433801189701], [-9.16053751533704, 38.7432524091044], [-9.16044706756435, 38.7431204523728], [-9.16035662248662, 38.7429887343193], [-9.16026990990886, 38.7428627039175], [-9.16018630011211, 38.7427406971459], [-9.16010517415711, 38.742622243185], [-9.16001442005891, 38.7424900505692], [-9.15992611656479, 38.7423590292074], [-9.15983688241605, 38.7422268234925], [-9.15974577977151, 38.7420915346299], [-9.15965625007703, 38.7419598083726], [-9.15957298253841, 38.7418369165231], [-9.15956795826101, 38.7418295014141], [-9.15947903762429, 38.7416977683674], [-9.15939168993765, 38.741569597258], [-9.15930029893391, 38.741435264961], [-9.15922666223343, 38.7413249547929], [-9.15921757667266, 38.7413113436291], [-9.15921077013775, 38.7413015847328], [-9.15912405935662, 38.741177267291], [-9.15903548546961, 38.7410483924754], [-9.15894642020412, 38.7409276241932], [-9.1589215440573, 38.7408941180898], [-9.15888899270465, 38.740852219323], [-9.15884619696452, 38.7407963477226], [-9.15874545719362, 38.7406630250433], [-9.15864679612427, 38.7405356928867], [-9.15855965864339, 38.7404220580222], [-9.15845671889836, 38.7402885412572], [-9.15840239328156, 38.7402137046628], [-9.15830428557443, 38.7400780840683]]]",[-9.16002824 38.74251759],Pista Ciclável Bidirecional,Avenida dos Combatentes,"(38.74251759115272, -9.160028236530236)",São Sebastião da Pedreira,Lisboa,Lisboa
72,120,"[[[-9.17146528091819, 38.7337464339326], [-9.17148744235625, 38.7337453688053], [-9.17160510369214, 38.7333176152074], [-9.17175613564424, 38.7327229296841]]]",[-9.17157849 38.73338309],Trilho,Rua Miguel Ângelo de Blasco,"(38.73338308690735, -9.171578490652704)",Campolide,Lisboa,Lisboa
73,122,"[[[-9.13886519557698, 38.7413656453327], [-9.13889154675754, 38.741358820837], [-9.13974304634063, 38.7411387038754], [-9.13974410725096, 38.741138414499], [-9.14005431797644, 38.741049353094], [-9.14005455153842, 38.7410492893331], [-9.1400897376498, 38.7410394974694], [-9.1400911309368, 38.7410390840741], [-9.14024742971138, 38.7409895438795], [-9.14077462040894, 38.7408492092364], [-9.14077543248595, 38.74084898362], [-9.14096776627983, 38.740793533822], [-9.1409677986192, 38.7407935254139], [-9.14126417708593, 38.7407079031842], [-9.14177676477021, 38.7405717664304], [-9.14177773315408, 38.7405714966707], [-9.14210693875625, 38.7404753983745], [-9.14230453757606, 38.7404177194355]]]",[-9.14058316 38.74089988],30+Bici,Rua Brito Aranha,"(38.74089988269898, -9.140583157381965)",None,Lisboa,Lisboa
74,127,"[[[-9.12338765262632, 38.7594870442606], [-9.12338686660042, 38.7594525080412], [-9.12338770922017, 38.7593812395157], [-9.12338919669232, 38.7593453758464], [-9.12339615877373, 38.759309906474], [-9.12341437391274, 38.7592579419476], [-9.12345648423831, 38.7591830537857], [-9.12348589867397, 38.7591296818775], [-9.12351751308379, 38.7590777956752], [-9.12355873862997, 38.7590043184789], [-9.12359334796176, 38.7589287936415], [-9.12361109142512, 38.7588743070977], [-9.12362513993329, 38.7588191689274], [-9.12363545469408, 38.7587635313823], [-9.12366775901, 38.7586207708264], [-9.12371407704437, 38.7584631825223], [-9.12373533172416, 38.7584057167614], [-9.12375165676994, 38.7583472790345], [-9.1237629804301, 38.7582881261842], [-9.12377473039403, 38.7582135045962], [-9.12378460826888, 38.7581233604985], [-9.12378783681181, 38.7580896539661], [-9.12378799401921, 38.7580558537484], [-9.1237893989843, 38.757989651973], [-9.12379463913904, 38.7579478234431], [-9.12380459716453, 38.7579065193705], [-9.12381919520396, 38.7578660626921], [-9.12384356739594, 38.7578125882257], [-9.12385519287065, 38.7577838942434], [-9.12386152339146, 38.7577542099055], [-9.12386243291522, 38.757724126238], [-9.12386038568641, 38.7576901497792], [-9.12385235842146, 38.7576567167715], [-9.12383850404838, 38.7576244641506], [-9.12381908650781, 38.7575940063656], [-9.12365281823017, 38.757390568155], [-9.12348290548745, 38.7571875195495], [-9.12330213031631, 38.7569913536127], [-9.12313065989489, 38.7568076219856], [-9.12294544974119, 38.7566207886961], [-9.12274497271921, 38.7564194268523], [-9.12258534209323, 38.7562663380353], [-9.12256883565085, 38.7562502864], [-9.12255562645776, 38.7562324752241], [-9.1225460174016, 38.7562133129178], [-9.12254022881866, 38.7561932388732], [-9.12253839344153, 38.7561727133888], [-9.12252913301764, 38.7561284672696], [-9.12251344453114, 38.7560853372798], [-9.12249758490673, 38.7560442360282], [-9.122478591776, 38.7560039507762], [-9.12245653356296, 38.7559646266556], [-9.12232740523245, 38.7557719557821], [-9.12224440449347, 38.7556464607309], [-9.1221940103702, 38.7555794607123], [-9.12214042460839, 38.7555139840401], [-9.12208372283858, 38.7554501231321], [-9.12198870621253, 38.7553584642344], [-9.12189128304347, 38.755268354627], [-9.1218309861105, 38.7552136989157], [-9.12176736217051, 38.7551613870869], [-9.1217005608559, 38.7551115421743], [-9.12163073927171, 38.7550642814098], [-9.12137631662031, 38.7548901855737], [-9.12125142474468, 38.7548057998796], [-9.12114637027852, 38.7547367616916], [-9.12103812054952, 38.7546707935558], [-9.12092682300834, 38.7546079853381], [-9.12055988187603, 38.7544187518491], [-9.12042457741464, 38.7543542915206], [-9.12028687789356, 38.754292993084], [-9.12014690478037, 38.75423491062], [-9.1199310234479, 38.7541405666549], [-9.11986211926562, 38.7541088975266], [-9.11979614764417, 38.7540736345552], [-9.1197334162968, 38.7540349422137], [-9.11967421782305, 38.7539930009703], [-9.11961882834397, 38.7539480064472], [-9.11955205076038, 38.7538839000699], [-9.11948900472271, 38.7538175355384], [-9.11942981562165, 38.7537490448374], [-9.11938355844883, 38.7536846334129], [-9.11934271426351, 38.7536180333192], [-9.11930745250355, 38.753549520834], [-9.11927818346267, 38.7534830984705], [-9.11925484399246, 38.7534152629931], [-9.11923754470983, 38.7533463359029], [-9.11922110104856, 38.7532711970459], [-9.11919717891253, 38.7531584287152], [-9.11915744912247, 38.7529918115358], [-9.11913191271388, 38.7528944297277], [-9.11911140776919, 38.7528309679368], [-9.11909882866027, 38.752796038988], [-9.11907540598755, 38.7527415505224], [-9.11906263500821, 38.7527017312824], [-9.1190547859885, 38.7526611443666], [-9.11905193031424, 38.7526201589067], [-9.11905822982084, 38.7525823974886], [-9.11907042589573, 38.7525455247585], [-9.11908833404282, 38.7525100985104], [-9.11911168335667, 38.7524766546573], [-9.11914012062062, 38.752445699124], [-9.11921045152084, 38.7523811608758], [-9.11924251778323, 38.7523549844921]]]",[-9.12175591 38.75584526],Percurso Ciclopedonal,Parque hortícola do Vale de Chelas,"(38.755845261236416, -9.121755907432323)",Marvila,Lisboa,Lisboa
75,129,"[[[-9.18975812240971, 38.7438812592616], [-9.18977887079784, 38.7440246987913]]]",[-9.1897685  38.74395298],Percurso Ciclopedonal,Parque Florestal de Monsanto - Parque Quinta da Granja,"(38.743952979026446, -9.189768496603776)",Benfica,Lisboa,Lisboa
76,131,"[[[-9.09685491986808, 38.7814280101077], [-9.09685738205653, 38.7814351908084], [-9.09685836398676, 38.7814425840848], [-9.09685784118938, 38.7814500056989], [-9.0968560139669, 38.7814546188752], [-9.09685341718044, 38.7814590020817], [-9.09685009681333, 38.7814630777014]]]",[-9.09685543 38.7814475 ],Pista Ciclável Unidirecional,Alameda dos Oceanos,"(38.78144749847973, -9.096855433580203)",Parque das Nações,Lisboa,Lisboa
77,133,"[[[-9.09999149098884, 38.7879255586158], [-9.09996013978544, 38.7879260375593], [-9.09994208274991, 38.7879262539242], [-9.09988450433346, 38.787927110981], [-9.09986520852114, 38.7879272825324], [-9.09983618125936, 38.7879278412998], [-9.09982018226415, 38.7879278335975]]]",[-9.09989997 38.78792685],Pista Ciclável Bidirecional,Via do Oriente,"(38.787926845501424, -9.099899969986042)",Parque das Nações,Lisboa,Lisboa
78,139,"[[[-9.17403954619695, 38.7261128328181], [-9.17401046323965, 38.7262861774688], [-9.17388817198675, 38.726569151211], [-9.1738525043784, 38.7267242582658], [-9.17386026043254, 38.7268230956063], [-9.17405480408205, 38.7271625879662], [-9.17419703793424, 38.7273818797047], [-9.17444048676614, 38.7276071934615], [-9.17470167462995, 38.7277482766485], [-9.17530397436669, 38.7278764235054], [-9.17565909277156, 38.7279573223188], [-9.17590735477674, 38.7280787376438], [-9.17628506581098, 38.7284086771213], [-9.17741863369834, 38.7294271653021], [-9.17876349342536, 38.7306291987705], [-9.17978140860978, 38.7314447422992], [-9.18005907606747, 38.7316520266496], [-9.18014564132151, 38.7317881923186], [-9.18016582556762, 38.7318380815676], [-9.18017557408509, 38.731878350049], [-9.18018249380773, 38.7319641958948], [-9.1801812343697, 38.7320048441163]]]",[-9.17668517 38.72897106],Trilho,Caminho Pedreiras,"(38.728971064123094, -9.176685173560239)",Campolide,Lisboa,Lisboa
