,lat,lon
0,41.2635556,-8.5629402
1,41.1607731,-8.5922552
2,41.160823,-8.5917705
3,41.1590503,-8.5975147
4,41.166263,-8.5932339
5,41.1656169,-8.5982894
6,41.2260793,-8.6334459
7,41.1514604,-8.6765313
8,41.2534595,-8.6687038
9,41.2522557,-8.6461445
10,41.1909482,-8.6936929
11,41.1586211,-8.5573734
12,41.0796194,-8.6567379
13,41.1516948,-8.677531
14,41.0467089,-8.5655571
15,41.0427036,-8.5634972
16,41.0324131,-8.5972662
17,41.0296209,-8.5959895
18,41.1918889,-8.7050462
19,41.0763907,-8.6555383
20,41.1867106,-8.6947827
21,41.1686027,-8.5611766
22,41.1844682,-8.6847697
23,41.1842831,-8.6856861
24,41.1843957,-8.6854093
25,41.1843849,-8.6849645
26,41.1870976,-8.6866041
27,41.1859151,-8.6914698
28,41.0485445,-8.6537864
29,41.0535298,-8.6540336
30,41.0511926,-8.6529003
31,41.1827456,-8.6885407
32,41.1409628,-8.6105907
33,41.1408145,-8.610584
34,41.1404192,-8.6143526
35,41.1384532,-8.6108062
36,41.1527924,-8.6743714
37,41.1493954,-8.6762167
38,41.1840398,-8.6946272
39,41.1836173,-8.6942132
40,41.163136,-8.5920332
41,41.1717462,-8.6880125
42,41.1999347,-8.6575418
43,41.120467,-8.6096315
44,41.188153,-8.4982284
45,41.1985199,-8.5066577
46,41.211211,-8.5101878
47,41.1661133,-8.6873799
48,41.2045772,-8.5534734
49,41.1662738,-8.5876962
50,41.1661513,-8.5881337
51,41.1654366,-8.5881613
52,41.1074548,-8.6609067
53,41.1038068,-8.6607833
54,41.1404543,-8.6149591
55,41.148385,-8.5855181
56,41.1825416,-8.5967911
57,41.1826663,-8.5968095
58,41.263774,-8.6151213
59,41.0565869,-8.502985
60,41.183739,-8.6939676
61,41.1834887,-8.693179
62,41.1830446,-8.6946596
63,41.1831966,-8.6948771
64,41.1802606,-8.6906357
65,41.1815002,-8.6927568
66,41.1823502,-8.6930717
67,41.1815696,-8.6937725
68,41.1854922,-8.6966373
69,41.1858702,-8.6957992
