ESCOLA SEDE,latitude,longitude
"Escola Básica Miguel Torga, São Brás, Amadora",38.7689,-9.22631
Escola Básica de Arruda dos Vinhos,38.98116,-9.08017
"Escola Básica de Manique do Intendente, Azambuja",39.22025,-8.8911
"Escola Básica e Secundária de Alvide, Cascais",38.7182,-9.42438
"Escola Básica das Olaias, Lisboa",38.73928,-9.12175
"Escola Secundária Padre António Vieira, Lisboa",38.75786,-9.1363
"Escola Básica Fernando Pessoa, Lisboa",38.76591,-9.11574
"Escola Básica Luís António Verney, Lisboa",38.73457,-9.11349
"Escola Básica Manuel da Maia, Lisboa",38.71733,-9.1698
"Escola Básica e Secundária Josefa de Óbidos, Lisboa",38.72286,-9.26206
"Escola Básica de Piscinas, Lisboa",38.77187,-9.11142
"Escola Básica do Catujal, Loures",38.81639,-9.12637
"Escola Secundária José Cardoso Pires, Loures",38.81031,-9.17615
"Escola Básica de Moinhos da Arroja, Odivelas",38.79496,-9.19281
"Escola Básica de São Bruno, Caxias, Oeiras",38.70998,-9.27578
"Escola Básica Rainha D. Leonor de Lencastre, São Marcos, Sintra",38.74981,-9.29877
"Escola Básica Professor Agostinho da Silva, Casal de Cambra, Sintra",38.79882,-9.23217
"Escola Básica D. António de Ataíde, Castanheira do Ribatejo, Vila Franca de Xira",38.99779,-8.97281
"Escola Básica e Secundária Dr. Azevedo Neves, Damaia, Amadora",38.74774,-9.2212
"Escola Básica e Secundária de Mães D´Água, Falagueira, Amadora",38.76274,-9.22579
"Escola Básica e Secundária D. Filipa de Lencastre, Lisboa",38.73966,-9.14078
"Escola Básica do Bairro Padre Cruz, Lisboa",38.76779,-9.1932
"Escola Secundária Eça de Queirós, Lisboa",38.79095,-9.14312
"Escola Básica e Secundária Gil Vicente, Lisboa",38.71647,-9.128
"Escola Básica Patrício Prazeres, Lisboa",38.72261,-9.11803
"Escola Básica da Quinta de Marrocos, Lisboa",38.75088,-9.19848
"Escola Básica D. Dinis, Odivelas",38.78708,-9.18603
"Escola Básica Conde de Oeiras, Oeiras",38.69627,-9.32579
"Escola Básica e Secundária Mestre Domingos Saraiva, Algueirão, Sintra",38.80277,-9.35199
"Escola Básica Escultor Francisco dos Santos, Fitares, Sintra",38.78396,-9.31252
"Escola Secundária Miguel Torga, Monte Abraão, Sintra",38.75424,-9.26871
"Escola Básica Ruy Belo, Queluz, Sintra",38.77617,-9.18658
"Escola Básica Visconde de Juromenha, Mem Martins, Sintra",38.78427,-9.3437
"Escola Básica do Bom Sucesso, Alverca do Ribatejo, Vila Franca de Xira",38.90089,-9.03726
"Escola Secundária do Forte da Casa, Vila Franca de Xira",38.87585,-9.05517
"Escola Básica e Secundária D. João V, Damaia, Amadora",38.74359,-9.21637
"Escola Básica Luís de Camões, Lisboa",38.74444,-9.135
"Escola Básica Pintor Almada Negreiros, Lisboa",38.7785,-9.1445
"Escola Artística António Arroio, Lisboa",38.73632,-9.12763
