X,Y,gid,Estado de Conservação,Tipo de Abrigo,Abrigo com Publicidade?,Tem Bolsa?,Operadora,Carreira,Código de Rua,Nome da Rua,Freguesia,Observações,Data da Observação
-9.29352248679879,38.700890380154,868,Bom,Fechado dos Lados,Sim,Sim,COMBUS,n/a,1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.3016113295099,38.7162146751464,828,Bom,Fechado dos Lados,Sim,Sim,LT,"106,112,125,129",1540,Estrada de Paço de Arcos,Porto Salvo,n/a,2012/07
-9.29352248679879,38.700890380154,389,Bom,Fechado dos Lados,Sim,Sim,LT,"119,125,129,158,184",1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29520678676334,38.706105654062,388,Bom,Fechado dos Lados,Sim,Sim,LT,"119,125,129,158,184",1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29522332012055,38.7042864545358,387,Bom,Fechado dos Lados,Sim,Sim,LT,"119,125,129,158,184",1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29504425124403,38.704224549087,386,Bom,Sem Abrigo,Não,Não,LT,"119,125,129,158,184",1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.2940977043226,38.7016299758533,385,Bom,Fechado dos Lados,Sim,Sim,LT,"119,125,129,158,184",1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29540765219225,38.709842072916,290,Bom,Fechado dos Lados,Sim,Sim,LT,"119,125,129,184",1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29549031094092,38.7073857262079,288,Bom,Fechado dos Lados,Sim,Não,LT,"119,125,129,184",1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29700473502639,38.7126488657799,287,Bom,Fechado dos Lados,Sim,Não,LT,"119,125,129,184",1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.3016113295099,38.7162146751464,286,Bom,Fechado dos Lados,Sim,Sim,SCoTTURB,15,1540,Estrada de Paço de Arcos,Porto Salvo,n/a,2012/07
-9.24148967484756,38.7180024817251,988,Razoável,Sem Abrigo,Não,Não,COMBUS,n/a,487,Rua de Moçambique,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.30255023345803,38.6951798337868,560,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,471,1398,Avenida de Moçambique,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
