train_station,latitude,longitude
abrantes,39.440621,-8.194491
ademia,40.250923,-8.4502586
afife,41.778402,-8.862305
agualva-cacem,38.766358,-9.298185
aguda,41.05019,"-8.651035,471"
aguim,40.4152173,-8.4570271
albergaria-dos-doze,39.793735,"-8.589131,494"
albufeira-ferreiras,37.128662,-8.233327
alcacovas,38.4068313,-8.0955688
alcaide,40.133841,-7.448969
alcains,39.920013,-7.436378
alcantara-mar,38.702624,"-9.173553,743"
alcantara-terra,38.707963,"-9.1731,744"
alcaria,40.20051,"-7.517352,494"
aldeia,40.6004766,-6.8855562
alegria,41.176331,-7.377419
alfarelos,40.164917,-8.634535
alferrarede,39.473844,-8.187188
alges,38.698315,-9.229285
algoz,37.167940,-8.303581
algueirao,38.797748,-9.341074
alhandra,38.923607,-9.011598
alhos-vedros,38.652033,"-9.027287,744"
almourol,39.462429,-8.374377
alpedrinha,40.095136,-7.462309
alvaraes,41.648405,-8.739613
alvega-ortiga,39.472398,-8.045125
alverca,38.889839,"-9.034238,742"
alvito,38.2329384,-8.0002141
amadora,38.759809,-9.236222
ameal,40.192431,-8.5435633
ancora-praia,41.818567,-8.868791
aregos,41.106766,-8.007416
areia-darque,41.684127,-8.799464
arentim,41.489936,-8.508760
areosa,41.721239,-8.855586
arronches,39.096862,-7.333374
assumar,39.138700,-7.38204
avanca,40.808030,-8.585041
aveiro,40.643518,"-8.640806,247"
aveleda,41.520504,-8.468078
azambuja,39.06841,"-8.866729,247"
baixa-da-banheira,38.659573,"-9.044369,187"
baracal,40.677389,-7.3277675
barca-da-amieira-envendos,39.526202,-7.835042
barcelos,41.536659,-8.609172
barqueiros,41.140545,-7.887662
barquinha,39.461863,-8.436019
barragem-de-belver,39.481973,-8.001388
barreiro,38.652734,"-9.08052,186"
barreiro-a,38.659623,"-9.071925,744"
barrimau,41.389530,-8.526214
barroselas,41.646474,"-8.701122,247"
beja,38.018531,-7.858228
belem,38.696242,-9.197386
belver-gaviao,39.492174,
bemposta,39.352422,-8.135733
bencanta,40.214543,-8.456596
benfica,38.744355,-9.199662
benquerencas,39.787950,-7.562817
bobadela,38.806981,"-9.09464,743"
boliqueime,37.122860,-8.152595
bombarral,39.265051,"-9.153692,247"
braco-de-prata,38.746633,"-9.102992,743"
braga-,<html,-8.434821
bustelo,41.235266,-8.274265
cabeda,41.220607,-8.535779
cacela,37.176294,-7.538048
cacia,40.684692,-8.598175
caide,41.253202,-8.227693
cais-do-sodre,38.705860,-9.145809
caldas-da-rainha,39.406447,"-9.140507,184"
caldas-de-moledo,41.153020,-7.826672
caminha,41.874147,-8.834570
campolide,38.73313,"-9.167093,744"
canas-felgueira,40.491208,-7.906675
canelas,40.715739,-8.563791
canicos,41.363603,-8.437635
carapecos,41.585605,-8.632909
carcavelos,38.687984,-9.337405
carrascal-delongo,39.548511,-8.463199
carreco,41.750362,-8.863287
carregado,39.005214,"-8.953947,74"
carregal-do-sal,40.433264,-8.007566
carreira,41.486695,-8.563841
carvalha,41.979910,-8.702288
carvalheira-maceda,40.924531,-8.626046
carvalhos-de-figueiredo,39.570682,-8.395068
casa-branca,38.498322,-8.158070
casais,40.2047909,-8.4836034
cascais,38.700760,-9.418605
castanheira-do-ribatejo,38.98862,"-8.96569,371"
castelejo,40.407825,-8.084423
castelo-branco,39.817832,-7.491757
castelo-novo,40.064963,-7.460411
caxarias,39.714303,"-8.545096,24"
caxias,38.698853,-9.274444
celorico-da-beira,40.665140,-7.382512
cerdeira,40.511324,-7.047933
cete,41.172142,"-8.354454,247"
chanca,39.275693,-7.807910
coimbra,40.209,"-8.432225,183"
coimbra-b,40.224778,"-8.44059,728"
coimbroes,41.124420,-8.633973
contumil,41.170293,-8.574159
cortegaca,40.940940,-8.630365
couto-de-cambeses,41.48167,-8.52889
covas,41.421628,-8.300761
covelinhas,41.152184,-7.688292
covilha,40.277164,"-7.496012,248"
crato,39.269417,-7.635231
cruz-quebrada,38.699831,-9.251949
cuba,38.162964,"-7.894464,465"
cuca,41.376527,-8.341901
curia,40.4245907,-8.4564271
curvaceiras,39.550983,-8.453293
darque,41.680446,-8.781912
donas,40.132133,-7.472816
durraes,41.639192,-8.666998
elvas,38.895657,-7.1422613
entrecampos,38.744721,"-9.148434,743"
entroncamento,39.461678,"-8.474846,247"
ermesinde,41.217250,-8.554402
ermida,41.124234,"-7.951305,17"
ermidas-sado,38.002846,-8.414239
esmeriz,41.3795,-8.52152
esmoriz,40.962808,-8.635391
espadanal-da-azambuja,39.050513,"-8.902891,740"
espadaneira,40.209081,-8.471038
espinho,41.006318,-8.644306
esqueiro,41.909659,-8.792397
estarreja,40.751171,-8.575377
estoril,38.703291,-9.398804
evora,38.560566,"-7.907227,745"
famalicao,41.405060,-8.529703
faro,37.019447,"-7.94068,76"
fatela-penamacor,40.149115,-7.410268
fatima,39.654677,-8.493653
fernando-po,38.636491,-8.6914994
ferradosa,41.144562,-7.331677
ferrao,41.161956,-8.529703
ferreiros,41.531112,-8.441081
figueira-da-foz,40.148426,-8.847717
formoselha,40.179330,-8.606849
fornos-de-algodres,40.610372,-7.527160
francelos,41.081638,-8.647446
fratel,39.613354,-7.715843
freineda,40.593231,-6.904229
freixo-de-numao,41.134843,-7.210475
funcheira,37.727351,-8.338164
fundao,40.141314,-7.496483
fungalvaz,39.6165249,-8.4949187
fuseta-a,37.053488,-7.749715
gata,40.521958,-7.214469
general-torres,41.133512,-8.608032
giesteira,41.364759,-8.388112
godim,41.166434,-7.797252
gondarem,41.919904,-8.762906
gouveia,40.573501,-7.601811
grandola,38.181170,-8.554801
granja,41.038332,"-8.647041,180"
guarda,40.551782,"-7.23955,724"
guimaraes,41.43517,-8.294386
irivo,41.181859,-8.341920
juncal,41.140579,-8.119864
lagos,37.108284,-8.671343
lamarosa,39.528543,-8.468924
lapa-do-lobo,40.475403,-7.920019
lardosa,39.988806,-7.4411355
lavradio,38.661811,"-9.057892,371"
leandro,41.243803,-8.556881
leiria,39.756604,-8.828031
lisboa-oriente,38.767891,"-9.099116,743"
lisboa-santa-apolonia,38.714176,"-9.122615,744"
litem,39.8380634,-8.5945482
livracao,41.216794,"-8.155718,247"
