stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10124,,Escola Superior de Saúde de Alcoitão,,38.7320977603,-9.4007945811,,,,,,
10125,,EB Alcabideche,,38.7314507020,-9.4030214851,,,,,,
10126,,Av. Alcabideche,,38.7295267542,-9.4047743087,,,,,,
101801,,Murches - Escolar,,38.7313001,-9.4403498,,,,,,
101802,,Murches - Escolar,,38.7312017,-9.4404088,,,,,,
101803,,Charneca - Escolar,,38.7337083,-9.4474737,,,,,,
101804,,Chesol - Escolar,,38.7257519,-9.4458979,,,,,,
101805,,Chesol - Escolar,,38.7252330,-9.4447124,,,,,,
101806,,Birre - Escolar,,38.7143300,-9.4456834,,,,,,
101807,,Birre - Escolar,,38.7142139,-9.4455747,,,,,,
101808,,Torre - Escolar,,38.7062056,-9.4409412,,,,,,
101809,,Torre - Escolar,,38.7064066,-9.4402707,,,,,,
101810,,EB Cascais,,38.7035996,-9.4363935,,,,,,
101811,,Nossa Sr.ª Rosário,,38.7012991,-9.4383730,,,,,,
101812,,Nossa Sr.ª Rosário,,38.7018100,-9.4382536,,,,,,
101813,,ES Cascais,,38.6971700,-9.4338139,,,,,,
101814,,ES Cascais,,38.6975690,-9.4338065,,,,,,
101815,,EBS Cidadela,,38.7013202,-9.4296759,,,,,,
