"Giorni Festivo","Data"
"Capodanno 2020","01 Jan 2020"
"Epifania 2020","06 Jan 2020"
"Pasqua 2020","12 Apr 2020"
"Pasquetta 2020","13 Apr 2020"
"Festa della Liberazione 2020","25 Apr 2020"
"Festa dei lavoratori 2020","01 May 2020"
"Festa della Republica 2020","02 Jun 2020"
"Ferragosto 2020","15 Aug 2020"
"Tutti i Santi 2020","01 Nov 2020"
"Immacolata Concezione 2020","08 Dec 2020"
"Natale 2020","25 Dec 2020"
"Santo Stefano 2020","26 Dec 2020"
