name,Lat,Long,type,lun,mar,mer,gio,ven,sab,dom
casa pepa,45.05972708,7.679202355, 'public place',nan,nan,nan,nan,nan,nan,nan
Bar Max',45.05966886,7.679337776, 'restaurant',19–1AM,19–1AM,19–1AM,19–1AM,19–2AM,19–2AM,19–1AM
Kashmir',45.05955661,7.679284132, 'pub',nan,nan,nan,nan,nan,nan,nan
Azeytuna Food Torino',45.05946945,7.679304919, 'restaurant',nan,nan,nan,nan,nan,nan,nan
Tripbike',45.05938325,7.679253286, 'restaurant',9AM–13,9AM–13,9AM–13,9AM–13,9AM–13,9AM–13,9AM–13
Petit Baladin Torino',45.05934914,7.679208359, 'public place',9AM–19,9AM–19,9AM–19,9AM–19,9AM–19,9AM–13,x
La colazione di Sara',45.05911286,7.679122644, 'restaurant',18–12AM,18–12AM,18–12AM,18–12AM,18–12AM,18–1AM,18–12AM
Fast Food Piatti Caldi',45.05874642,7.67904372, 'public place',x,x,10AM–18,10AM–18,10AM–18,10AM–13,10AM–13
Tipocelere S.N.C.',45.05873202,7.678976193, 'restaurant',nan,nan,nan,nan,nan,nan,nan
Cartoleria - Cibelli Dario',45.05870834,7.678991616, 'public place',"8:30AM–114, 2–18","8:30AM–114, 2–18","8:30AM–114, 2–18","8:30AM–114, 2–18","8:30AM–114, 2–18",x,x
La Gallina Scannata',45.05865481,7.678998321, 'public place',"9AM–114, 4–19","9AM–114, 4–19","9AM–114, 4–19","9AM–114, 4–19","9AM–114, 4–19","9AM–114, 4–19",x
Scannabue CaffÃ¨ Restaurant'12:30–15,45.05847376,7.679068227, 'restaurant',7:30AM–13,7:30AM–13,7:30–13,7:30–13,7:30–13,7:30–13,"12:30–15, 7:30–13"
Closer',45.05833782,7.679080297, 'restaurant',"12:30–15, 7:30–13","12:30AM–15, 7:30–13","12:30–15, 7:30–13","12:30–15, 7:30–13","12:30–15, 7:30–13","12:30–15, 7:30–13","12:30–15, 7:30–13"
'Chips Smile - lâ€™Impero della Patata',45.05828599,7.679287779, 'pub',18–3AM,18–3AM,18–3AM,18–3AM,18–3AM,18–3AM,18–3AM
iFusion',45.05823768,7.679514425, 'restaurant',x,x,x,x,x,22–4AM,22–4AM
TABACCHERIA',45.05822015,7.679582151, 'restaurant',nan,nan,nan,nan,nan,nan,nan
Misceltati spiriti e Affini',45.0581562,7.679838972, 'public place',7:30AM–19,7:30AM–19,7:30AM–19,7:30AM–19,7:30AM–19,3–19,x
Alibi',45.05862403,7.682487077, 'pub',nan,nan,nan,nan,nan,nan,nan
Barbarella',45.05865024,7.682487747, 'pub',18–3AM,18–3AM,18–3AM,18–3AM,18–3AM,18–3AM,x
Toubkal Grigliata Macelleria e Mini Market',45.05910208,7.680226197, 'pub',x,x,21–3AM,21–3AM,21–3AM,21–3AM,x
Greek Food Lab',45.0593923,7.680267968, 'restaurant',9AM–22,9AM–22,9AM–22,9AM–22,9AM–22,9AM–22,9AM–22
,45.05945491,7.682402063,pub',"12–15, 19–12AM","12–15, 19–12AM","12–15, 19–12AM","12–15, 19–12AM","12–15, 19–12AM","12–15, 19–12AM","12–15, 19–12AM"
Chupa la Chupiteria',45.0587962,7.6801267,pub',x,22–03,22–03,22–03,22–03,22–03,x
Farmacia Cavallo SNC di Guzzinati Mauro e Cavallo Silvia',45.0590356,7.6824176,public place',"09–13, 15:15–19:15","09–13, 15:15–19:15","09–13, 15:15–19:15","09–13, 15:15–19:15","09–13, 15:15–19:15",09–13,x
Ordine dei Farmacisti della Provincia di Torino,45.0590694,7.6802613,public place',"
09:30–12:30",11:30–15:30,09:30–12:30,x,09:30–11:30,x,x
La Lanterna del Vecchio Borgo',45.0589636,7.6804469,public place',x,"09:30–12, 15–18","09:30–12, 15-18","09:30–12, 15–18","09:30–12, 15–18","09:30–12, 15–18",x
Soundart',45.0589636,7.6804469,pub',19–24,19–24,19–24,19–24,19–02,19–02,x
L’Ufficio',45.0589636,7.6804469,pub',17–03,17–03,17–03,17–03,17–03,17–03,17–03
CRAI MARKET DI SUNDAS SERGIO',45.0588999,7.6806709,public place',08:30–20,08:30–20,08:30–20,08:30–20,08:30–20,08:30–20,x
B&B Baia Delle Stelle',45.0588314,7.6806414,public place',x,x,x,x,x,x,x
Toccalmatto Torino',45.0586383,7.6806335,pub',17:30–01:30,17:30–01:30,17:30–01:30,17:30–01:30,17:30–02,17:30–02,17:30–01:30
La Trattoria Secondo Me - SPAZIO MOUV'',45.0586383,7.6806335,resturant',x,"19:30–23:30
","12:30–14:30, 19:30–23:30","12:30–14:30, 19:30–23:30","12:30–14:30, 19:30–24",18–24,"12–15, 18–24"
Lo Sbarco',45.0584683,7.6803068,resturant',12–24:30,12–24:30,12–24:30,12–24:30,12–24:30,12–24:30,12–24:30
Fusion Peruana',45.0586131,7.6824076,resturant',"12–16, 19–24",12–16,"12–16, 19–24","12–16, 19–24","12–16, 19–24","	12–03",12–24
Atelier Nina Tauro',45.0581633,7.6801657,public place',x,"11–13, 16–20","11–13, 16–20","11–13, 16–20","11–13, 16–20","11–13, 16–20",x
Bottega Baretti',45.0581367,7.6801969,resturant',x,19:30–23:30,19:30–23:30,19:30–24,19:30–24,19:30–24,19:30–23:30
Lo Staglio',45.0581165,7.6807199,resturant',19–23,19–23,19–23,x,19–24,19–24,19–23
Tattoo Studio la Rue Des Bons Enfants',45.05799,7.6806086,public place',nan,nan,nan,nan,nan,nan,nan
Brasserie Bordeaux',45.05799,7.6806086,resturant',x,18–23,18–23,18–23,18–23,18–23,18–23
D.ONE Torino',45.0579471,7.6805836,resturant',18:30–02,18:30–02,18:30–02,18:30–02,18:30–03,18:30–03,"11–15, 18:30–02"
Sans Soushì',45.0578323,7.6809759,resturant',x,18:30–23,18:30–23,18:30–23,18:30–23,18:30–23,18:30–23
Pasion',45.0584328,7.6810589,resturant',19:30–23,19:30–23,19:30–23,19:30–23,19:30–23,"	19:30–23:30",x
VaccaBoia',45.0582927,7.6810138,resturant',x,17:30–23,17:30–23,17:30–23,17:30–23,17:30–23,17:30–23
Zum / corsi di fotografia a Torino',45.0580922,7.6810648,public place',09:30–19,09:30–19,09:30–19,09:30–19,09:30–19,x,x
Welcome Cargo Restaurant',45.0580532,7.6812306,resturant',x,19–01,19–01,19–01,19–01,19–01,19–01
Filetteria San Salvario',45.0584836,",7,681366",resturant',nan,nan,nan,nan,nan,nan,nan
IL Barbabuc',45.0586704,7.6815557,resturant',"12:30–14:30, 19:30–22",x,"12:30–14:30, 19:30–22","12:30–14:30, 19:30–22","12:30–14:30, 19:30–22","12:30–14:30, 19:30–22","12:30–14:30, 19:30–22"
Pasticceria Castellino',45.0586704,7.6815557,public place',x,07:30–20,07:30–20,07:30–20,07:30–20,07:30–20,8–20
Casa Proseccheria',45.0588196,7.6815072,pub',18–24,18–24,18–24,18–24,18–02,11:30–02,11:30–24
La Cuite Torino',45.0581075,7.6803559,pub',17–02,17–02,17–02,17–02,17–02,17–03,x
Bar Narghilè',45.0597386,7.6792455,pub',x,x,x,x,x,x,x
Dress Mode Stock',45.059739,7.6794119,public place',"	09–20:30",09:30–20:30,09:30–20:30,09:30–20:30,09:30–20:30,09:30–20:30,11–17
DDR',45.0593356,7.6802575,pub',x,19–01,19–01,19–01,19–02,19–02,19–24
Santi Pizza Fritta',45.0592499,7.6806213,resturant',17:30–24,17:30–24,17:30–24,17:30–24,17:30–01,17:30–01,17:30–24
