name,Lat,Long,type,lun,mar,mer,gio,ven,sab,dom
Rossorubino Enoteca | Enotavola',45.0575581,7.682551,resturant',10–20,10–20,10–20,10–20,10–20,10–20,x
Vodafone Store | Madama Cristina',45.0573654,",7,6825678",public place',"09:30–13:30, 14:30–20","09:30–13:30, 14:30–20","09:30–13:30, 14:30–20","09:30–13:30, 14:30–20","09:30–13:30, 14:30–20","09:30–13:30, 14:30–20",x
Dagnoli Boutique',45.0573654,7.6825678,public place',"10–13:30, 15:30–19:30","10–13:30, 15:30–19:30","10–13:30, 15:30–19:30","10–13:30, 15:30–19:30","10–13:30, 15:30–19:30","10–13:30, 15:30–19:30",x
Affitti Brevi Torino',45.0578319,7.6844292,public place',nan,nan,nan,nan,nan,nan,nan
La Macchia Nera S.n.c.',45.0574278,7.6843081,public place',"10–13, 15:30–18:30","10–13, 15:30–18:30","10–13, 15:30–18:30","10–13, 15:30–18:30","10–13, 15:30–18:30",x,x
La Ciclofficina Artigiana',45.057393,7.684285,public place',nan,nan,nan,nan,nan,nan,nan
TOHOUSE',45.0574884,7.6836122,public place',nan,nan,nan,nan,nan,nan,nan
Azienda Sanitaria Locale Città di Torino',45.0573387,7.6836675,public place',07:30–20,07:30–20,07:30–20,07:30–20,07:30–20,x,x
Filippini Atelier Paralumi',45.0574362,7.6837107,public place',"09:30–12:30, 15:30–19","09:30–12:30, 15:30–19","09:30–12:30, 15:30–19","09:30–12:30, 15:30–19","09:30–12:30, 15:30–19",09:30–12:30,x
Teapot',45.0574362,7.6837107,resturant',09–15,09–15,09–15,09–15,09–15,x,x
Caffè Vecchio Borgo',45.0574362,7.6837107,public place',nan,nan,nan,nan,nan,nan,nan
Linea Alimentare Italiana Srl',45.0571706,7.6823996,public place',nan,nan,nan,nan,nan,nan,nan
Pasticceria Bizzi',45.0571706,7.6823996,public place',x,08:30–19,08:30–19,08:30–19,08:30–19,"08:30–12:3, 15–19",x
Mini Market Alimentari Sarker',45.0569206,7.6834292,public place',nan,nan,nan,nan,nan,nan,nan
La LLama',45.0569206,7.6834292,resturant',"12–15, 18:30–22",19–21:30,"12–15, 18:30–22","12–15, 18:30–22","12–15, 18:30–22","12–15, 18:30–22","12–15, 18:30–22"
La Casa degli Enigmi',45.057242,7.6840907,public place',12:30–01,12:30–01,12:30–01,12:30–01,12:30–01,09:30–03,09:30–03
Ramble On Tattoo Parlour',45.0569117,7.6839505,public place',11–20,11–20,11–20,11–20,11–20,11–20,x
Negozio Leggero',45.0568927,7.6835832,public place',"09:30–13:30, 16–20","09:30–13:30, 16–20","09:30–13:30, 16–20","09:30–13:30, 16–20","09:30–13:30, 16–20","09:30–13:30, 16–20",x
Alma Latina cucina messicana senza glutine,45.0579867,7.680008278,restaurant',18:30–23:30,18:30–23:30,18:30–23:30,18:30–23:30,18:30–23:30,18:30–00,18:30–23:30
SPRITZERÒ - TORINO San Salvario,45.05789087,7.680284596,pub',18–02,18–02,18–02,18–02,18–02,18–03,18–03
Lanificio San Salvatore,45.05783784,7.680437402,restaurant',17–22,18–22,18–22,18–22,18–22,"11–15, 17–22","11–15, 17–22"
Cocktail Bar Torino - Camping Bar,45.05742912,7.680335859,pub',17:30–02,17:30–02,17:30–02,17:30–02,17:30–03,17:30–03,17:30–02
Napples,45.05721466,7.680231354,restaurant',19–00,19–00,19–00,19–00,19–00,19–00,19–00
Ristorante Fricandò,45.05703469,7.680196265,restaurant',"12–15, 19:30–23:30","12–15, 19:30–23:30","12–15, 19:30–23:30","12–15, 19:30–23:30","12–15, 19:30–23:30",19:30–23:30,x
Bar da Michele,45.05714471,7.679653757,restaurant',07–03,07–03,07–03,07–03,07–03,07–03,07–03
Past-à-Porter,45.05727373,7.679714641,restaurant',18–23,x,18–23,18–23,18–2,18–00,18–23
Bogianen,45.05769013,7.679876537,restaurant',nan,nan,nan,nan,nan,nan,nan
All'improvviso,45.05788953,7.679949874,restaurant',18–23,18–23,18–23,18–23,18–23,18–23,18–23
Fiori e Piante da Carlo,45.0576288,7.680887668,public place',"08:30–12, 15:30–19:30","08:30–12, 15:30–19:30","08:30–12, 15:30–19:30","08:30–12, 15:30–19:30","08:30–12, 15:30–19:30","08:30–12, 15:30–19:30",08:30–12
la Locanda Clandestina,45.05759906,7.681051071,restaurant',09–00,09–00,09–00,09–00,09–00,09–00,09–00
Ippocampo,45.0576196,7.68109518,public place',nan,nan,nan,nan,nan,nan,nan
Alma la Verde - Giardini e Cucina,45.05749767,7.681330061,restaurant',09:30–19,09:30–19,09:30–19,09:30–19,09:30–19,09:30–19,x
AUTOSERVIZIO BEAUTYCAR,45.05723199,7.681099308,public place',08:30–19:30,08:30–19:30,08:30–19:30,08:30–19:30,08:30–19:30,"09–13, 15–19",x
Bicierin Ciclofficina con Cucina,45.05704676,7.680995169,restaurant',10–00,10–00,10–00,10–00,10–00,10–00,x
Parrucchiere Maria,45.05706158,7.680640798,public place',x,10–17:30,10–17:30,10–18,10–18,09–18,x
A Smorfia,45.0572394,7.680411543,restaurant',x,19–23,19–23,19–23,19–23,"12:30–15:30, 19–23",12:30–16:30
La Sartoria,45.05731448,7.680469253,restaurant',20–23:30,"13–14, 20–23:30","13–14, 20–23:30","13–14, 20–23:30","13–14, 20–23:30","13–14, 20–23:30",x
Pastificio Baretti Di Ugazio Giovanni Paolo Torino,45.05740513,7.681562684,restaurant',09:30–19,09:30–19:30,09:30–19:30,09:30–19:30,09:30–19:30,09:30–19:30,x
Rockitchen,45.05734256,7.681733398,restaurant,16–02,16–02,16–02,16–02,16–02,16–02,x
La Rilievo S.r.l. Torino,45.05722123,7.682067098,public place',"08:30–12:30, 14–18","08:30–12:30, 14–18","08:30–12:30, 14–18","08:30–12:30, 14–18","08:30–12:30, 14–18",x,x
Pam Local Madama Cristina,45.05699541,7.682254979,public place',08–21,08–21,08–21,08–21,08–21,08–21,09–21
Erboristeria Mediterranea,45.05685774,7.682160338,public place',nan,nan,nan,nan,nan,nan,nan
Cartoleria Cantamessa dal 1934 Torino,45.05671412,7.68204817,public place',15:30–19:30,"09–12:30, 15:30–19:30","09–12:30, 15:30–19:30","09–12:30, 15:30–19:30","09–12:30, 15:30–19:30","09:30–12:30, 15:30–19:30",x
Nice Trend,45.05660517,7.68197456,public place',nan,nan,nan,nan,nan,nan,nan
Il Pentolino - Ristorante a San Salvario,45.05711971,7.681232148,ristorante',"12:30–14:30, 19:30–23:30",x,"12:30–14:30, 19:30–23:30","12:30–14:30, 19:30–23:30","12:30–14:30, 19:30–23:30","12:30–14:30, 19:30–23:30","12:30–14:30, 19:30–23:30"
Canapa House Torino - Hemp & Grow Shop - CBD Shop,45.05691223,7.682914185,public place',15–20,"09:30–13, 15–20","09:30–13, 15–20","09:30–13, 15–20","09:30–13, 15–20","09:30–13, 15–20",x
Bongiovanni Franco,45.05677154,7.683213252,pub',15–21,"09–13:45, 15–21","09–13, 15–21","09–13, 15–21","09–13, 15–21","09–13:45, 15–21",x
Telca Snc,45.05657442,7.683628978,public place',"08:30–12:30, 14:30–18:30","08:30–12:30, 14:30–18:30","08:30–12:30, 14:30–18:30","08:30–12:30, 14:30–18:30","08:30–12:30, 14:30–18:30",08:30–12,x
Negozio WindTre,45.05652409,7.682218026,public place,"09:30–13, 15–19","09:30–13, 15–19","09:30–13, 15–19","09:30–13, 15–19","09:30–13, 15–19","09:30–13, 15–19",x
