X,Y,OBJECTID,CATEGORY,SUBCATEGORY,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,CREATE_DATE,UPDATE_DATE,TRAFFICCONTROLID,INSTALLATION_DATE,OWNERSHIP
-80.4852311197411,43.4496664821966,89,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 11:08:11+00,2004/01/29 11:08:11+00,2014/08/11 16:51:35+00,15,1970/01/01 00:00:00+00,REGION
-80.5097618234104,43.4565660360831,90,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 11:09:22+00,2004/01/29 11:09:22+00,2014/08/11 16:51:35+00,16,1970/01/01 00:00:00+00,REGION
-80.5353399697661,43.439314019628,91,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 11:10:33+00,2004/01/29 11:10:33+00,2014/08/11 16:51:35+00,17,1970/01/01 00:00:00+00,REGION
-80.522819418834,43.4450325861823,92,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 11:55:24+00,2004/01/29 11:55:24+00,2014/08/11 16:51:35+00,18,1970/01/01 00:00:00+00,REGION
-80.5314723494595,43.4295335630326,93,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 11:59:07+00,2004/01/29 11:59:07+00,2014/08/11 16:51:35+00,19,1970/01/01 00:00:00+00,REGION
-80.5275183395687,43.4309724483433,94,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 11:59:10+00,2004/01/29 11:59:10+00,2014/08/11 16:51:35+00,20,1970/01/01 00:00:00+00,REGION
-80.5246203228251,43.4303065669863,95,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:00:20+00,2004/01/29 12:00:20+00,2014/08/11 16:54:29+00,21,1970/01/01 00:00:00+00,REGION
-80.4494447870144,43.4350869412779,97,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:03:47+00,2004/01/29 12:03:47+00,2014/08/11 16:54:29+00,24,1970/01/01 00:00:00+00,REGION
-80.4852991967663,43.4236907725111,98,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:06:20+00,2004/01/29 12:06:20+00,2014/08/11 16:54:29+00,25,1970/01/01 00:00:00+00,REGION
-80.4536934026108,43.4192272600762,99,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:07:24+00,2004/01/29 12:07:24+00,2014/08/11 15:14:19+00,26,1970/01/01 00:00:00+00,REGION
