OBJECTID,ACTIVETRANSPORTID,STATUS,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,ROUTE_NAME_1,ROUTE_NAME_2,ROUTE_NAME_PROPOSED,WIDTH_M,GRADE,RAILING,CURBCUT,STREET,ROADSEGMENTID,ROADSEGMENT_SIDE,WARD,OWNERSHIP,MAINTAINED_BY,INSTALLATION_YEAR,LAST_INSPECTION_YEAR,SURFACE_CONDITION,WAYFINDING,WINTER_MAINTAINED_BY,SIDEWALKER_PROGRAM,UPGRADE_YEAR,FACILITY_TYPE,Shape__Length
21282,306976,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,CARLYLE DR,21781,RIGHT,4,KITCHENER,UNKNOWN,1976,2020,UNKNOWN,X,,Y,,NA,18.6581744549826
21288,306987,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,WINDY RIDGE DR,21791,LEFT,4,KITCHENER,UNKNOWN,1976,2020,UNKNOWN,X,,Y,,NA,4.58557002178713
21323,306110,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,LAURENTIAN DR,6527,LEFT,6,KITCHENER,UNKNOWN,1968,2020,UNKNOWN,X,,Y,,NA,38.7596061323632
21324,306112,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,LAURENTIAN DR,6527,RIGHT,6,KITCHENER,UNKNOWN,1968,2020,UNKNOWN,X,,Y,,NA,36.1333904663858
21395,386009,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,Y,N,DOON VILLAGE RD,22076,RIGHT,4,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,14.4744664249397
21396,386010,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,Y,N,DOON VILLAGE RD,22076,RIGHT,4,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,18.4797981367216
21398,386241,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,BRIDGE,CONCRETE,,,,1.5,UNKNOWN,Y,N,DOON VILLAGE RD,22076,RIGHT,4,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,20.4571805678178
21399,11255,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BUSH CLOVER CRES,40050,LEFT,5,UNKNOWN,UNKNOWN,1999,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,46.7403798116953
21413,207646,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,MISTYWOOD ST,601479,LEFT,4,KITCHENER,UNKNOWN,2014,2019,UNKNOWN,X,,N,,NA,66.2331739646678
21414,311043,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BLAIR CREEK DR,602362,RIGHT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,104.018910507847
21415,311044,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,WILDFLOWER ST,602359,RIGHT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,219.827830994015
21416,311004,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,SIENNA ST,103410,LEFT,5,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,64.7509459524097
21417,311005,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,SIENNA ST,103412,LEFT,5,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,29.0983653312068
21418,311006,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,SIENNA ST,103412,RIGHT,5,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,29.1455038259428
21419,311007,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,SIENNA ST,103410,RIGHT,5,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,65.7821906385562
21420,338587,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SIENNA ST,103410,LEFT,5,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,3.19671616674372
21421,338589,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SIENNA ST,103412,RIGHT,5,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.74380873401779
21422,338590,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,RACHEL CRES,103413,RIGHT,5,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.4101443376307
21423,207603,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,NEWCASTLE DR,600166,LEFT,5,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,N,,NA,35.9773684950493
21424,207602,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,NEWCASTLE DR,600166,RIGHT,5,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,N,,NA,35.1397219336555
21425,207605,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,NEWCASTLE CRT,600171,RIGHT,5,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,214.961141697481
21426,207609,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,RENFREW ST,600173,RIGHT,5,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,76.9787608092132
21427,392612,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,NETHERWOOD RD,602364,RIGHT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,78.5384785196693
21434,21192,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,DAVID ELSEY ST,601162,RIGHT,2,UNKNOWN,UNKNOWN,2015,2019,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,78.2369787097615
21435,286396,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,PIONEER GROVE CRT,602244,RIGHT,3,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,153.737720836017
21436,286395,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,PIONEER GROVE CRT,602244,LEFT,3,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,172.443209962768
21438,310413,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,GROVEHILL CRES,103564,RIGHT,5,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,N,,NA,264.352860873676
21446,20608,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,DEER CREEK ST,600275,LEFT,2,KITCHENER,UNKNOWN,,2019,UNKNOWN,X,,N,,NA,80.311399703925
21447,20606,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BROOKMEAD ST,601005,LEFT,2,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,59.3269287338483
21448,374383,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,VALEBROOK ST,600070,LEFT,2,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,122.893951525956
21452,386484,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,APPLE HILL CRES,103601,LEFT,5,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,N,,NA,168.726159383411
21453,20605,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BROOKMEAD ST,601005,RIGHT,2,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,55.7617136877515
21454,20604,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,DEER CREEK ST,600106,LEFT,2,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,N,,NA,36.568076334633
21456,374382,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,DEER CREEK ST,600106,LEFT,2,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,N,,NA,83.7899972582206
21457,20602,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,VALEBROOK ST,600070,LEFT,2,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,N,,NA,72.520168762973
21458,12111,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,,50005,LEFT,10,KITCHENER,UNKNOWN,1854,2020,UNKNOWN,X,,Y,,NA,86.789492269663
21459,12215,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,,50148,RIGHT,10,KITCHENER,UNKNOWN,1854,2020,UNKNOWN,X,,Y,,NA,86.5576043755199
21460,16957,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,OTTAWA ST S,9374,LEFT,9,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,76.3559616143639
21463,374742,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,2,UNKNOWN,N,N,FISCHER HALLMAN RD,40063,LEFT,6,UNKNOWN,UNKNOWN,2005,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,9.45491688031274
21465,28657,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,COTTON GRASS ST,600380,LEFT,5,KITCHENER,UNKNOWN,2002,2020,UNKNOWN,X,,Y,,NA,122.817641284077
21466,302033,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,COTTON GRASS ST,600380,RIGHT,5,KITCHENER,UNKNOWN,2002,2020,UNKNOWN,X,,Y,,NA,121.704271950773
21467,22950,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,MAX BECKER DR,601390,LEFT,5,KITCHENER,UNKNOWN,2003,2020,UNKNOWN,X,,N,,NA,118.878902489219
21474,338870,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,ELMBANK TRAIL,103844,RIGHT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,100.170327229709
21475,336359,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,ELMBANK TRAIL,103844,LEFT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,113.704259433168
21476,339324,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,GREENWATER ST,601547,RIGHT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,67.7270149365071
21477,373487,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,GREENWATER PL,601549,RIGHT,4,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,N,,NA,79.9853957972859
21479,207697,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,EVENS POND CRES,601534,RIGHT,4,KITCHENER,UNKNOWN,2010,2018,UNKNOWN,X,,N,,NA,62.6403543692856
21480,341948,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,ROBERT FERRIE DR,601545,LEFT,4,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,N,,NA,112.799129019703
21481,310025,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,MEADOWRIDGE ST,602156,RIGHT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,271.749309569181
21482,310024,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,MEADOWRIDGE ST,602156,LEFT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,169.366045114929
21483,207708,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,GREENWATER PL,601549,RIGHT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,108.210846607857
21484,207707,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,GREENWATER PL,601549,LEFT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,163.968309521482
21485,207713,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,ELMBANK TRAIL,103028,RIGHT,4,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,N,,NA,103.494742438851
21486,352842,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,ELMBANK TRAIL,103028,LEFT,4,KITCHENER,UNKNOWN,,2019,UNKNOWN,X,,N,,NA,116.017304604074
21487,207709,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,GREENWATER ST,601551,RIGHT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,116.735815669003
21512,307087,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,COUNTRYSTONE DR,600736,LEFT,7,KITCHENER,UNKNOWN,2009,2020,UNKNOWN,X,,Y,,NA,4.06970416267357
21536,307086,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,COUNTRYSTONE DR,600736,RIGHT,7,KITCHENER,UNKNOWN,2009,2020,UNKNOWN,X,,Y,,NA,3.62322423932395
21537,307089,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,COUNTRYSTONE DR,20432,LEFT,7,KITCHENER,UNKNOWN,2006,2020,UNKNOWN,X,,Y,,NA,31.8951340599864
21538,16497,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,COUNTRYSTONE PL,600833,LEFT,7,KITCHENER,UNKNOWN,2006,2020,UNKNOWN,X,,Y,,NA,189.173374961825
21539,307093,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,UNIVERSITY AVE W,602087,LEFT,7,KITCHENER,UNKNOWN,2009,2020,UNKNOWN,X,,Y,,NA,190.432223146925
21540,307094,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,UNIVERSITY AVE W,602087,LEFT,7,KITCHENER,UNKNOWN,2006,2020,UNKNOWN,X,,Y,,NA,4.80033729936803
21541,16498,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,UNIVERSITY AVE W,602087,LEFT,7,KITCHENER,UNKNOWN,1990,2020,UNKNOWN,X,,Y,,NA,77.2872753741119
21542,16495,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,RESURRECTION DR,20431,LEFT,7,KITCHENER,UNKNOWN,2007,2020,UNKNOWN,X,,Y,,NA,184.007503654932
21543,16504,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BEECHMANOR CRES,20420,RIGHT,7,KITCHENER,UNKNOWN,1993,2020,UNKNOWN,X,,Y,,NA,156.59165864872
21548,16506,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,RESURRECTION DR,20431,RIGHT,7,KITCHENER,UNKNOWN,2006,2020,UNKNOWN,X,,Y,,NA,172.679038064002
21550,307104,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,2.5,UNKNOWN,N,Y,BEECHMANOR CRES,20420,RIGHT,7,UNKNOWN,UNKNOWN,2008,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,2.91413822508241
21742,311459,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BLOCK LINE RD,103013,RIGHT,3,KITCHENER,UNKNOWN,2011,2020,UNKNOWN,X,,Y,,NA,27.1720971616652
21743,306181,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BLOCK LINE RD,103015,RIGHT,3,KITCHENER,UNKNOWN,2012,2020,UNKNOWN,X,,Y,,NA,25.9935862841303
21745,392049,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,OVERPASS,CONCRETE,,,,1.5,UNKNOWN,N,N,BLOCK LINE RD,103019,RIGHT,3,KITCHENER,UNKNOWN,2014,2020,UNKNOWN,X,,N,,NA,134.330667759955
21747,311460,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,LENNOX LEWIS WAY,10750,LEFT,3,KITCHENER,UNKNOWN,2008,2020,UNKNOWN,X,,Y,,NA,84.249017976145
21748,306188,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,LENNOX LEWIS WAY,10750,LEFT,3,KITCHENER,UNKNOWN,2012,2020,UNKNOWN,X,,Y,,NA,68.2990461391969
21749,306189,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BLOCK LINE RD,600915,LEFT,3,KITCHENER,UNKNOWN,2012,2020,UNKNOWN,X,,Y,,NA,322.469055618905
21750,392048,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,OVERPASS,CONCRETE,,,,1.5,UNKNOWN,N,N,BLOCK LINE RD,103019,LEFT,3,KITCHENER,UNKNOWN,2014,2020,UNKNOWN,X,,N,,NA,135.689910630076
21831,320757,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,GENERAL DR,13103,LEFT,1,KITCHENER,UNKNOWN,1910,2020,UNKNOWN,X,,Y,,NA,1.40809278813456
21833,320758,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,BRIDGE ST E,13118,LEFT,1,KITCHENER,UNKNOWN,1856,2020,UNKNOWN,X,,Y,,NA,3.11579148515245
21834,320759,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,BLOOMINGDALE RD,13095,LEFT,1,KITCHENER,UNKNOWN,2003,2020,UNKNOWN,X,,Y,,NA,5.63852887299969
21836,320761,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,TAGGE CRES,603190,RIGHT,1,KITCHENER,UNKNOWN,1989,2020,UNKNOWN,X,,Y,,NA,0.906753615595978
21841,12438,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,ELLEN ST E,11135,RIGHT,10,KITCHENER,UNKNOWN,1859,2020,UNKNOWN,X,,Y,,NA,102.862373406788
21842,310753,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,ELLEN ST E,11135,RIGHT,10,KITCHENER,UNKNOWN,1859,2019,UNKNOWN,X,,Y,,NA,24.3187273085924
21848,310760,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,HANOVER ST,600402,RIGHT,3,KITCHENER,UNKNOWN,1971,2020,UNKNOWN,X,,Y,,NA,11.6569116285238
21849,311490,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,QUAISER ST,22565,RIGHT,2,KITCHENER,UNKNOWN,1986,2020,UNKNOWN,X,,Y,,NA,11.3684510925123
21854,310765,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,LANCASTER ST W,10389,RIGHT,10,KITCHENER,UNKNOWN,1947,2020,UNKNOWN,X,,Y,,NA,12.6462567210938
21855,320756,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,GENERAL DR,13103,RIGHT,1,KITCHENER,UNKNOWN,1923,2020,UNKNOWN,X,,Y,,NA,2.39217545441554
21856,321194,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,CONFEDERATION DR,15933,LEFT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.95066887477804
21857,321195,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,CONFEDERATION DR,15933,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.31254199589094
21858,320762,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,TAGGE CRES,603190,LEFT,1,KITCHENER,UNKNOWN,1989,2020,UNKNOWN,X,,Y,,NA,0.92493763021511
21859,320763,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,TAGGE CRES,12633,LEFT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.16120497798197
21860,320764,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,TAGGE CRES,12633,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.22857062147892
21861,320765,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,TAGGE ST,10474,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.73653608267294
21862,320766,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,STANLEY AVE,12954,LEFT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.23772549645486
21863,320767,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,STANLEY AVE,12954,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.32254684581477
21864,320768,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,TAGGE ST,12565,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.59827712126677
21865,320769,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,INGE CRT,10468,LEFT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.23723261179718
21866,320770,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,INGE CRT,10468,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.49190419181442
21867,320771,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SCHUELLER ST,10476,LEFT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.21821377743828
21868,320772,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SCHUELLER ST,10476,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.40423393605604
21869,320773,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,NELSON AVE,12956,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,0.953923272429335
21871,320775,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SCHUELLER ST,10476,LEFT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.390227498617
21872,320776,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SCHUELLER ST,10476,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.67146121048141
