OBJECTID,ACTIVETRANSPORTID,STATUS,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,ROUTE_NAME_1,ROUTE_NAME_2,ROUTE_NAME_PROPOSED,WIDTH_M,GRADE,RAILING,CURBCUT,STREET,ROADSEGMENTID,ROADSEGMENT_SIDE,WARD,OWNERSHIP,MAINTAINED_BY,INSTALLATION_YEAR,LAST_INSPECTION_YEAR,SURFACE_CONDITION,WAYFINDING,WINTER_MAINTAINED_BY,SIDEWALKER_PROGRAM,UPGRADE_YEAR,FACILITY_TYPE,Shape__Length
43897,336171,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,CHARLOTTE CRES,11581,LEFT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.01814689763864
43898,336172,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,CROSBY DR,11590,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.98575896088967
43902,321889,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,DAIMLER DR,25357,LEFT,2,KITCHENER,UNKNOWN,1958,2020,UNKNOWN,X,,Y,,NA,60.8907652297822
43903,16342,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,LAWRENCE AVE,20959,RIGHT,8,KITCHENER,UNKNOWN,2005,2020,UNKNOWN,X,,Y,,NA,173.002690922049
43907,321894,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,OLD ZELLER DR,602046,RIGHT,2,KITCHENER,UNKNOWN,2012,2020,UNKNOWN,X,,Y,,NA,13.3113902341226
43908,373167,ACTIVE,PATHWAYS,MUT,SURFACE,CONCRETE,,,,0,UNKNOWN,N,Y,PARKVALE DR,600558,LEFT,5,KITCHENER,OPERATIONS (PARKS),2018,2019,UNKNOWN,X,OPERATIONS (PARKS),N,,AAA,5.00560161913474
43911,327716,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,WELLINGTON ST N,8900,RIGHT,10,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,0.871550142377832
43912,327717,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SHANLEY ST,8897,LEFT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.21720769664661
43913,327718,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SHANLEY ST,8892,LEFT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.5947803918306
43914,327719,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,ANDREW ST,8868,LEFT,10,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,1.43821239364518
