OBJECTID,PARKINGFACILITYID,PARKING_FACILITY,CATEGORY,SUBCATEGORY,NUM_SPACES,PARKING_COST,PAYMENT_METHOD,LOT_NUMBER,PARKING_ACCESS,MAX_RATE,HOURS,DAYS,PROPERTYUNITID,CIVIC_NO,STREET,OWNERSHIP,BUILDINGID,STATUS,STATUS_DATE,LOCATION_DESCRIPTION,MUNICIPAL_FACILITY,DIVISION_RESPONSIBLE,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,ACCESSIBLE_SPACES,CITY_FACILITY,PARKING_URL,MAP_LABEL,NUM_SPACES_2015,PLOW_ROUTE,Shape__Area,Shape__Length
2042,2064,GRT TRANSIT LOT,PARKING LOT,SURFACE LOT,31,2.25 PER HOUR / SUNDAY FREE,HOURLY / MONTHLY,LOT 22,PUBLIC,10.75,8:00 - 24:00,Monday - Saturday,1026941,15,CHARLES ST W,KITCHENER,,ACTIVE,2003/07/02 15:08:04+00,CHARLES ST AT ONTARIO,Y,TRANSPORTATION PLANNING,2003/07/02 15:08:04+00,2019/11/15 10:05:32+00,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,1,Y,http://app.kitchener.ca/parking/parking_detail.aspx?tid=12242,22,31,NA,899.107177734375,145.55293985552
2043,5823,BRAMM ST YARDS,PARKING LOT,SURFACE LOT,461,2.25 PER HOUR,HOURLY / MONTHLY,LOT 24,PUBLIC,10.75,8:00 - 17:00,Monday - Saturday,1018520,55,BRAMM ST,KITCHENER,,ACTIVE,2011/10/31 14:07:30+00,BRAMM ST YARDS,Y,TRANSPORTATION PLANNING,2011/10/31 14:07:30+00,2019/11/15 10:05:32+00,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,20,Y,http://app.kitchener.ca/parking/parking_detail.aspx?tid=23261,24,461,NA,15801.3686523438,792.590644396532
2044,2011,HALLS LANE,PARKING LOT,SURFACE LOT,11,2.25 PER HOUR / SUNDAY FREE,HOURLY,LOT 16,PUBLIC,4.5,8:00 - 17:00,Monday - Saturday,1015603,28,HALLS LANE W,KITCHENER,,ACTIVE,2003/07/02 15:08:02+00,HALLS LANE BETWEEN WATER AND FRANCIS,Y,TRANSPORTATION PLANNING,2003/07/02 15:08:02+00,2019/11/15 10:05:32+00,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,1,Y,http://app.kitchener.ca/parking/parking_detail.aspx?tid=12238,16,34,NA,152.41357421875,69.0046846377557
2045,2079,SEIGNER LANE,PARKING LOT,SURFACE LOT,5,2.25 PER HOUR / SUNDAYS FREE,HOURLY,LOT 11,PUBLIC,4.5,8:00 - 17:00,Monday - Saturday,1008426,4,CHARLES ST E,KITCHENER,,ACTIVE,2003/07/02 15:08:05+00,SIEGNER LANE AT CHARLES,Y,TRANSPORTATION PLANNING,2003/07/02 15:08:05+00,2019/11/15 10:05:32+00,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,0,Y,http://app.kitchener.ca/parking/parking_detail.aspx?tid=12233,11,5,NA,228.0224609375,67.7019361333227
2046,2049,ONTARIO ST S,PARKING LOT,SURFACE LOT,29,2.25 PER HOUR / SUNDAYS FREE,HOURLY / MONTHLY,LOT 9,PUBLIC,4.5,8:00 - 17:00,Monday - Saturday,1067433,40,ONTARIO ST S,KITCHENER,,ACTIVE,2003/07/02 15:08:03+00,ONTARIO ST S AT HALLS LANE,Y,TRANSPORTATION PLANNING,2003/07/02 15:08:03+00,2019/11/15 10:05:32+00,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,1,Y,http://app.kitchener.ca/parking/parking_detail.aspx?tid=12231,9,29,NA,944.62158203125,155.988967945136
2047,7697,KITCHENER MEMORIAL AUDITORIUM COMPLEX,PARKING LOT,SURFACE LOT,-1,FREE,FREE,NA,PUBLIC,,,,1025730,400,EAST AVE,KITCHENER,2016930,ACTIVE,1970/01/01 00:00:00+00,KMAC,N,SPORT,2015/03/05 17:11:20+00,2019/11/15 10:05:32+00,ORTHO 2014,2014/05/15 00:00:00+00,,Y,,,-1,NA,76340.9282226563,7737.31373835207
2048,5862,VICTORIA HILLS COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,90,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,Monday - Saturday,1025953,10,CHOPIN DR,KITCHENER,,ACTIVE,2008/09/17 14:14:14+00,VICTORIA HILLS COMMUNITY CENTRE,Y,COMMUNITY PROGRAMS & SERVICES,2008/09/17 14:14:14+00,2021/04/06 15:42:49+00,ORTHO 2019,2010/04/26 00:00:00+00,4,Y,,,90,3-1,2919.98022460938,427.490478995058
2049,5841,BREITHAUPT COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,148,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,,1001147,350,MARGARET AVE,KITCHENER,,ACTIVE,2008/09/17 14:14:14+00,BREITHAUPT COMMUNITY CENTRE,Y,COMMUNITY PROGRAMS & SERVICES,2008/09/17 14:14:14+00,2021/04/06 15:42:49+00,ORTHO 2019,2010/04/07 00:00:00+00,10,Y,,,148,1-2,5755.03637695313,522.993199918995
2052,7272,KITCHENER PUBLIC LIBRARY,PARKING LOT,SURFACE LOT,62,2.25 THEATRE PARKING $7.50 EXCEPT MATINEE,HOURLY,LOT 19B,PUBLIC,10.75,8:00 - 18:00,Monday - Saturday,1001745,101,QUEEN ST N,KITCHENER,,ACTIVE,2014/08/12 00:00:00+00,END OF ARHENS ST BETWEEN CIVIC CENTRE PARK AND KPL,Y,TRANSPORTATION PLANNING,2014/08/12 16:09:33+00,2019/11/15 10:05:32+00,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,3,Y,http://app.kitchener.ca/parking/parking_detail.aspx?tid=817841,19B,62,NA,1745.42114257813,176.344395138284
2636,10554,ARGYLE ST LOT,PARKING LOT,SURFACE LOT,80,FREE,FREE,NA,PUBLIC,,,,1063625,80,ARGYLE ST,KITCHENER,,ACTIVE,2010/04/29 14:49:01+00,ARGYLE ST LOT,N,NON-CITY,2017/08/14 12:54:20+00,2019/11/15 10:05:32+00,ORTHO 2009,2009/04/29 00:00:00+00,,N,,,,NA,1866.18432617188,188.071379725803
2954,2090,QUEEN ST S,PARKING LOT,SURFACE LOT,39,2.25 PER HOUR / SUNDAY FREE,HOURLY / MONTHLY,LOT 7,PUBLIC,10.75,8:00 am - 5:00 pm,Monday - Saturday,1024313,5,CHARLES ST E,KITCHENER,,ACTIVE,2003/07/02 15:08:06+00,QUEEN ST S ALONG CHARLES ST E,KITCHENER,INS - PARKING,2003/07/02 15:08:06+00,2019/11/15 10:05:32+00,https://tinyurl.com/ybzargzt,2013/09/26 00:00:00+00,1,Y,http://app.kitchener.ca/parking/parking_detail.aspx?tid=1986206,7,41,NA,1657.6787109375,215.432771711122
4234,5866,STANLEY PARK COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,28,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,,1006198,39,MIDLAND DR,KITCHENER,,ACTIVE,2010/02/22 09:43:31+00,STANLEY PARK COMMUNITY CENTRE,Y,COMMUNITY PROGRAMS & SERVICES,2010/02/22 09:43:31+00,2021/04/06 15:42:49+00,ORTHO 2019,2010/04/07 00:00:00+00,3,Y,,,28,11-2,1898.85571289063,361.536617647022
4240,5897,FOREST HEIGHTS COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,50,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,,4023215,1700,QUEENS BLVD,KITCHENER,,ACTIVE,2011/12/08 09:18:36+00,FOREST HEIGHTS FIRE HALL,Y,COMMUNITY PROGRAMS & SERVICES,2011/12/08 09:18:36+00,2021/04/13 11:28:37+00,ORTHO 2019,2010/06/15 00:00:00+00,,Y,,,,NA,2864.93969726563,461.720907808892
4241,13316,STECKLE WOODS ENTRANCE LOT,PARKING LOT,SURFACE LOT,,FREE,FREE,NA,PUBLIC,,,,1054343,,BLEAMS RD,KITCHENER,,ACTIVE,1970/01/01 00:00:00+00,STECKLE WOODS,Y,OPERATIONS,2019/09/22 10:02:14+00,2019/11/15 10:05:32+00,ORTHO 2019,2019/09/22 00:00:00+00,,Y,,,,,281.14013671875,93.8836693488713
5514,15172,WILLIAMSBURG COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,,FREE,FREE,NA,PUBLIC,,,,,,MAX BECKER DR,KITCHENER,,ACTIVE,1970/01/01 00:00:00+00,WILLIAMSBURG COMMUNITY CENTRE,N,NON-CITY,2021/04/13 11:24:22+00,2021/04/13 11:28:37+00,ORTHO 2020,1970/01/01 00:00:00+00,,N,,,,,3290.59814453125,261.56719438474
