OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,PARKING_COST,CREATE_DATE,UPDATE_DATE,SOURCE_DATE,SOURCE,PAYMENT_METHOD,PARKING_ACCESS,MAX_RATE,HOURS,DAYS,STREET,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,PARKINGONSTREETID,STATUS,Shape__Area,Shape__Length
250,PARKING,6,ON STREET,2 HOURS FREE,2011/12/12 12:38:31+00,2017/04/12 13:59:44+00,2011/12/14 14:11:09+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,YOUNG ST,KITCHENER,10,2,5911,ACTIVE,76.79638671875,93.9361995639321
251,PARKING,5,ON STREET,2 HOURS FREE,2011/12/12 12:49:04+00,2017/04/12 13:59:44+00,2011/12/13 16:04:22+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,MARGARET AVE,KITCHENER,10,2,5912,ACTIVE,38.865478515625,62.6509179125273
252,PARKING,9,ON STREET,2 HOURS FREE,2011/12/12 12:52:26+00,2017/04/12 13:59:44+00,2011/12/13 16:04:24+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,MARGARET AVE,KITCHENER,10,2,5913,ACTIVE,95.18896484375,126.549753199485
446,PARKING,7,ON STREET,2 HOURS FREE,2012/10/05 17:28:28+00,2017/04/12 13:59:44+00,2013/03/12 15:10:34+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,9,3,6052,ACTIVE,103.09228515625,100.480330406749
447,PARKING,3,ON STREET,2 HOURS FREE,2012/10/05 17:29:51+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,9,3,6053,ACTIVE,40.401123046875,42.8910229533616
766,PARKING,2,ON STREET,2 HOURS FREE,2013/03/12 13:45:53+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,10,3,6232,ACTIVE,29.040283203125,32.012417813607
767,PARKING,3,ON STREET,2 HOURS FREE,2013/03/12 13:49:55+00,2017/04/12 13:59:44+00,2013/03/12 15:10:34+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,9,3,6233,ACTIVE,41.754638671875,43.1771352353822
768,PARKING,3,ON STREET,2 HOURS FREE,2013/03/12 13:51:42+00,2017/04/12 13:59:44+00,2013/03/12 15:10:34+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,10,3,6234,ACTIVE,41.052734375,45.3913315125137
770,PARKING,2,ON STREET,2 HOURS FREE,2013/03/12 13:52:13+00,2017/04/12 13:59:44+00,2013/03/12 15:10:34+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,9,3,6236,ACTIVE,29.754150390625,32.7060644257266
771,PARKING,2,ON STREET,2 HOURS FREE,2013/03/12 13:52:26+00,2017/04/12 13:59:44+00,2013/03/12 15:10:34+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,10,3,6237,ACTIVE,31.90185546875,31.9933295127865
772,PARKING,2,ON STREET,2 HOURS FREE,2013/03/12 13:53:53+00,2017/04/12 13:59:44+00,2013/03/12 15:10:34+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,10,3,6238,ACTIVE,32.641845703125,32.7775031717757
773,PARKING,2,ON STREET,2 HOURS FREE,2013/03/12 13:54:07+00,2017/04/12 13:59:44+00,2013/03/12 15:10:34+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,9,3,6239,ACTIVE,30.701416015625,32.682932616488
774,PARKING,2,ON STREET,2 HOURS FREE,2013/03/12 13:54:29+00,2017/04/12 13:59:44+00,2013/03/12 15:10:34+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KNIG ST E,KITCHENER,10,3,6240,ACTIVE,28.140869140625,31.0265440784193
775,PARKING,1,ON STREET, ,2013/03/12 14:18:19+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,CHURCH ST,KITCHENER,9,4,6241,ACTIVE,8.81201171875,15.4905995292981
777,PARKING,6,ON STREET,2 HOURS FREE,2013/03/12 15:17:46+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,JOSEPH ST,KITCHENER,9,7,6252,ACTIVE,64.489501953125,73.8771644606428
778,PARKING,2,ON STREET,2 HOURS FREE,2013/03/12 15:19:48+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,JOSEPH ST,KITCHENER,9,7,6253,ACTIVE,33.622314453125,31.0927730178045
779,PARKING,11,ON STREET,2 HOURS FREE,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,FRANCIS ST S,KITCHENER,9,1,2142,ACTIVE,147.204833984375,69.8865169778517
1086,PARKING,9,ON STREET,2 HOURS FREE,2013/04/29 11:41:42+00,2017/04/12 13:59:44+00,2013/04/29 11:44:54+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,JOSEPH ST,KITCHENER,9,1,6372,ACTIVE,129.385986328125,115.174972201725
1406,PARKING,2,ON STREET, ,2013/05/16 10:24:58+00,2017/04/12 13:59:44+00,2013/05/16 10:27:25+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,YOUNG ST,KITCHENER,10,2,6392,ACTIVE,14.61962890625,21.6536939480458
1407,PARKING,1,ON STREET, ,2013/05/16 10:26:54+00,2017/04/12 13:59:44+00,2013/05/16 10:27:25+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,YOUNG ST,KITCHENER,10,2,6393,ACTIVE,12.682861328125,16.7219369501648
2048,PARKING,1,ON STREET,2 HOURS FREE,2015/05/04 09:50:29+00,2017/04/12 13:59:44+00,2011/12/13 15:46:55+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,1,8174,ACTIVE,17.531494140625,19.2564007205804
2050,PARKING,1,ON STREET,2 HOURS FREE,2015/05/01 09:11:34+00,2017/04/12 13:59:44+00,2011/12/13 15:46:55+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,1,8152,ACTIVE,14.468505859375,16.4728856351565
2051,PARKING,1,ON STREET,2 HOURS FREE,2015/05/04 09:50:21+00,2017/04/12 13:59:44+00,2011/12/13 15:46:55+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,1,8173,ACTIVE,14.298095703125,16.6036337960362
2053,PARKING,3,ON STREET,2 HOURS FREE,2015/05/01 09:18:07+00,2017/04/12 13:59:44+00,2011/12/14 13:28:37+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,10,1,8153,ACTIVE,48.882080078125,44.9022266218742
2054,PARKING,2,ON STREET,2 HOURS FREE,2015/05/01 09:18:52+00,2017/04/12 13:59:44+00,2011/12/14 13:28:37+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,10,1,8154,ACTIVE,25.26953125,25.2817348857863
2055,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:05+00,2017/04/12 13:59:44+00,2012/11/05 16:47:40+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,SCOTT ST,KITCHENER,10,1,2088,ACTIVE,50.656982421875,45.5260684572069
2056,PARKING,3,ON STREET,2 HOURS FREE,2015/05/04 09:55:37+00,2017/04/12 13:59:44+00,2012/11/05 16:47:40+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,SCOTT ST,KITCHENER,10,1,8178,ACTIVE,45.412353515625,41.3301769851351
2057,PARKING,2,ON STREET,2 HOURS FREE,2003/07/02 15:08:06+00,2017/04/12 13:59:44+00,2012/11/06 15:41:19+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,1,2094,ACTIVE,26.55908203125,31.1978137815753
2058,PARKING,2,ON STREET,2 HOURS FREE,2015/05/04 09:54:18+00,2017/04/12 13:59:44+00,2012/11/06 15:41:19+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,1,8175,ACTIVE,20.5556640625,28.2702421410915
2059,PARKING,1,ON STREET,2 HOURS FREE,2015/05/04 09:54:25+00,2017/04/12 13:59:44+00,2012/11/06 15:41:19+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,1,8176,ACTIVE,15.18505859375,19.2616228481726
2060,PARKING,2,ON STREET,2 HOURS FREE,2015/05/01 10:25:05+00,2017/04/12 13:59:44+00,2012/11/06 15:41:19+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,1,8155,ACTIVE,14.328369140625,28.6526709796984
2061,PARKING,2,ON STREET,2 HOURS FREE,2015/05/01 10:29:42+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,1,8156,ACTIVE,26.733642578125,31.5362534665762
2062,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:03+00,2017/04/12 13:59:44+00,2011/12/14 13:33:51+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,9,1,2052,ACTIVE,44.69189453125,55.246121675564
2064,PARKING,2,ON STREET,2 HOURS FREE,2015/05/01 11:17:31+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,1,8158,ACTIVE,27.544921875,32.1567095651093
2065,PARKING,2,ON STREET, ,2015/05/01 11:47:54+00,2017/05/01 15:44:58+00,2011/12/13 11:59:11+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,8159,ACTIVE,26.30322265625,24.1891271829055
2066,PARKING,2,ON STREET,2 HOURS FREE,2003/07/02 15:07:58+00,2017/04/12 13:59:44+00,2011/12/14 14:08:01+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,2,1918,ACTIVE,15.52392578125,21.4980490997606
2070,PARKING,1,ON STREET,2 HOURS FREE,2015/05/01 11:54:55+00,2017/04/12 13:59:44+00,2011/12/14 14:08:01+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,2,8161,ACTIVE,20.321533203125,22.5165462249151
2072,PARKING,2,ON STREET,1 HOUR FREE,2003/07/02 15:07:58+00,2017/04/12 13:59:44+00,2011/12/13 15:48:46+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,2,1919,ACTIVE,54.005126953125,49.1725201117774
2074,PARKING,1,ON STREET, ,2015/05/01 13:32:01+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,YOUNG ST,KITCHENER,10,2,8164,ACTIVE,5.925048828125,12.1708491187592
2075,PARKING,2,ON STREET, ,2015/05/04 09:55:06+00,2017/05/01 15:44:58+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,8177,ACTIVE,28.12939453125,27.9472776703725
2077,PARKING,1,ON STREET, ,2015/05/01 13:48:04+00,2017/05/01 15:44:58+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,8165,ACTIVE,18.668212890625,20.1947666292056
2078,PARKING,2,ON STREET,30 MINS FREE,2015/05/01 13:58:13+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,ONTARIO ST N,KITCHENER,10,1,8166,ACTIVE,33.60205078125,30.6917208023577
2079,PARKING,2,ON STREET,2 HOURS FREE,2015/05/01 15:18:41+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,9,1,8167,ACTIVE,19.904541015625,29.5149068147768
2081,PARKING,3,ON STREET,30 MINS FREE,2015/05/04 09:49:01+00,2017/04/12 13:59:44+00,2013/03/22 16:46:47+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,1,8172,ACTIVE,39.373046875,45.1042818667021
2082,PARKING,3,ON STREET,2 HOURS FREE,2003/07/02 15:08:06+00,2017/04/12 13:59:44+00,2012/11/06 15:18:52+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,10,1,2100,ACTIVE,52.0791015625,48.7245414209789
2083,PARKING,8,ON STREET,2 HOURS FREE,2015/05/01 16:36:25+00,2017/04/12 13:59:44+00,2012/11/06 15:18:52+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,10,1,8168,ACTIVE,136.364013671875,121.304012065821
2366,PARKING,1,ON STREET,2 HOURS FREE,2017/05/01 09:49:15+00,2017/05/01 09:51:48+00,2011/12/14 13:38:37+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,FRANCIS ST N,KITCHENER,10,1,10392,ACTIVE,11.14013671875,14.5146339315207
2367,PARKING,1,ON STREET,2 HOURS FREE,2017/05/01 10:55:30+00,2017/05/01 10:56:22+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,1,10393,ACTIVE,17.518310546875,20.4614549355021
2369,PARKING,1,ON STREET, ,2017/05/01 15:30:10+00,2017/05/01 15:44:58+00,2011/12/13 11:57:26+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,10412,ACTIVE,16.49267578125,18.5027803466802
2370,PARKING,1,ON STREET, ,2017/05/01 15:42:19+00,2017/05/01 15:44:58+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,10413,ACTIVE,18.66796875,20.1947666310161
2371,PARKING,1,ON STREET, ,2017/05/01 15:43:50+00,2017/05/01 15:44:58+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,10414,ACTIVE,18.66845703125,20.1947666292056
2372,PARKING,2,ON STREET, ,2017/05/01 16:07:18+00,2017/05/01 16:10:59+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,10415,ACTIVE,26.987548828125,27.0123336510786
2373,PARKING,1,ON STREET, ,2017/05/09 09:37:39+00,2017/05/09 09:37:39+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,10492,ACTIVE,16.818359375,18.6717677678947
2374,PARKING,2,ON STREET, ,2017/05/01 16:10:11+00,2017/05/01 16:10:59+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,10416,ACTIVE,29.2138671875,28.8449841460208
