OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,PARKING_COST,CREATE_DATE,UPDATE_DATE,SOURCE_DATE,SOURCE,PAYMENT_METHOD,PARKING_ACCESS,MAX_RATE,HOURS,DAYS,STREET,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,PARKINGONSTREETID,STATUS,Shape__Area,Shape__Length
176,PARKING,2,ON STREET, ,2003/07/02 15:07:58+00,2017/04/12 13:59:44+00,2011/12/13 11:55:16+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,1927,ACTIVE,30.036865234375,29.8800352662686
177,PARKING,5,ON STREET,2 HOURS FREE,2003/07/02 15:08:00+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,1,1962,ACTIVE,182.474609375,117.10207444785
178,PARKING,3,ON STREET,2 HOURS FREE,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2011/12/14 13:59:32+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,1,1959,ACTIVE,49.92724609375,50.7513314682664
179,PARKING,2,ON STREET,2 HOURS FREE,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,FRANCIS ST N,KITCHENER,10,1,1957,ACTIVE,26.856689453125,26.9048329607117
180,PARKING,2,ON STREET,2 HOURS FREE,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,FRANCIS ST N,KITCHENER,10,1,1952,ACTIVE,29.574951171875,29.1321412853593
181,PARKING,2,ON STREET, ,2003/07/02 15:07:59+00,2017/05/01 15:44:58+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,1942,ACTIVE,48.482666015625,44.6471607634516
182,PARKING,1,ON STREET, ,2003/07/02 15:07:59+00,2017/05/01 15:44:58+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,1950,ACTIVE,18.668212890625,20.1947666310161
183,PARKING,2,ON STREET, ,2003/07/02 15:07:59+00,2017/05/01 15:44:58+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,1953,ACTIVE,31.342041015625,30.5827727240208
184,PARKING,2,ON STREET, ,2003/07/02 15:07:59+00,2017/05/01 15:44:58+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,1958,ACTIVE,34.9130859375,34.9350261579673
185,PARKING,2,ON STREET, ,2003/07/02 15:07:59+00,2017/05/01 16:10:59+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,1961,ACTIVE,32.441650390625,31.4837169539335
186,PARKING,2,ON STREET, ,2003/07/02 15:08:00+00,2017/05/01 16:10:59+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,1967,ACTIVE,31.341064453125,30.582280036906
187,PARKING,2,ON STREET, ,2003/07/02 15:08:00+00,2017/05/01 16:10:59+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,1974,ACTIVE,29.72607421875,29.2583231415615
188,PARKING,2,ON STREET,1 HOUR FREE,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,2,1937,ACTIVE,22.527099609375,23.3546133477395
189,PARKING,3,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/13 16:01:45+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,2137,ACTIVE,64.015869140625,63.2937736727728
190,PARKING,3,ON STREET,2 HOURS FREE,2003/07/02 15:07:58+00,2017/04/12 13:59:44+00,2011/12/14 14:10:19+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,2,1917,ACTIVE,40.514404296875,48.1504212587274
191,PARKING,2,ON STREET, ,2003/07/02 15:08:08+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,2146,ACTIVE,31.357177734375,28.4070033198466
192,PARKING,1,ON STREET, ,2003/07/02 15:08:00+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,ROY ST,KITCHENER,10,2,1975,ACTIVE,20.28662109375,21.5159876330241
193,PARKING,2,ON STREET, ,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,1960,ACTIVE,35.413330078125,33.924515821556
194,PARKING,2,ON STREET, ,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,1951,ACTIVE,30.154052734375,29.6123813824065
195,PARKING,1,ON STREET, ,2003/07/02 15:08:08+00,2017/04/12 13:59:44+00,2011/12/13 12:02:48+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,2147,ACTIVE,22.21044921875,22.9476529374582
196,PARKING,2,ON STREET, ,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,1947,ACTIVE,32.801513671875,31.784336425363
197,PARKING,1,ON STREET, ,2003/07/02 15:07:59+00,2017/05/01 15:44:58+00,2011/12/13 11:59:50+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,1936,ACTIVE,17.530517578125,19.2594059226397
198,PARKING,2,ON STREET, ,2003/07/02 15:07:58+00,2017/05/01 15:44:58+00,2011/12/13 11:57:26+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,1934,ACTIVE,23.88134765625,25.0127214563119
199,PARKING,1,ON STREET,1 HOUR FREE,2003/07/02 15:07:58+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,2,1931,ACTIVE,14.271484375,16.5827288641237
200,PARKING,1,ON STREET,2 HOURS FREE,2015/05/01 11:55:12+00,2017/04/12 13:59:44+00,2011/12/14 14:08:01+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,2,8162,ACTIVE,17.178466796875,21.8262645593052
201,PARKING,2,ON STREET, ,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2011/12/13 12:02:11+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,1954,ACTIVE,32.001220703125,30.7736932914709
202,PARKING,6,ON STREET,1 HOUR FREE,2015/05/01 13:24:19+00,2017/05/01 15:44:58+00,2011/12/13 15:48:46+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,2,8163,ACTIVE,101.444091796875,88.4274124871953
203,PARKING,2,ON STREET,1 HOUR FREE,2003/07/02 15:07:58+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,2,1935,ACTIVE,26.983642578125,27.0095138527671
204,PARKING,1,ON STREET, ,2003/07/02 15:08:04+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,WATER ST S,KITCHENER,9,7,2071,ACTIVE,13.131103515625,15.6472811574955
205,PARKING,1,ON STREET, ,2003/07/02 15:08:04+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,WATER ST S,KITCHENER,9,7,2065,ACTIVE,36.158203125,36.3345664836842
206,PARKING,1,ON STREET, ,2003/07/02 15:08:05+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,WATER ST S,KITCHENER,9,7,2083,ACTIVE,17.35693359375,19.1128583534373
207,PARKING,3,ON STREET, ,2003/07/02 15:08:04+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,WATER ST S,KITCHENER,9,7,2072,ACTIVE,59.798095703125,53.9266187944563
