OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
52961,6296,Arterial,MAJOR,FISCHER HALLMAN RD,C_PKY WAT ONRAMP,C_PKY WAT ONRAMP,,,,,REGIONAL RD 58,5,REG,TwoWay,REG PLAN 748,2003/04/22 00:00:00+00,,,,24HR,94.3102222784123
52962,6919,Arterial,MAJOR,FREDERICK ST,LYDIA ST,LOCUST ST,296,300,293,305,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 111,2003/04/22 00:00:00+00,,,,7-7 MON-SAT,60.6605955795874
52963,6929,Arterial,MAJOR,FREDERICK ST,LOCUST ST,MERNER AVE,304,310,309,311,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 197,2003/04/22 00:00:00+00,,,,7-7 MON-SAT,34.3483936455289
52964,9788,Arterial,MAJOR,FREDERICK ST,FILBERT ST,EAST AVE,336,342,333,333,REGIONAL RD  6,3,REG,TwoWay,REG PLAN 117,2003/04/22 00:00:00+00,,,,7-7 MON-SAT,38.5433044511198
52965,9780,Arterial,MAJOR,FREDERICK ST,DUNHAM AVE,EDNA ST,362,380,369,385,REGIONAL RD  6,3,REG,TwoWay,REG PLAN 279,2003/04/22 00:00:00+00,,,,7-7 MON-SAT,236.858921994012
52988,1575,Arterial,MAJOR,WEBER ST W,RAITAR AVE,WATERLOO BOUNDARY,409,409,378,380,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 373,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,60.7214238582776
52996,7052,Arterial,MAJOR,VICTORIA ST N,DUKE ST W,WEBER ST W,70,100,63,97,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 374,2003/04/22 00:00:00+00,,,,24HR,179.751291789881
53019,602256,Roundabout,MAJOR,IRA NEEDLES BLVD,VICTORIA ST S,IRA NEEDLES BLVD,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/22 00:00:00+00,50,30664,2015,24HR,31.6790084646838
53020,602257,Roundabout,MAJOR,IRA NEEDLES BLVD,IRA NEEDLES BLVD,IRA NEEDLES BLVD,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/22 00:00:00+00,,,,24HR,58.512979289059
53025,10886,Arterial,MAJOR,COURTLAND AVE E,C_PKY WAT OFFRAMP,OVERLAND DR,,,,,REGIONAL RD 53,5,REG,TwoWay,58R-1275,2003/04/22 00:00:00+00,,,,24HR,118.477117740166
53026,6256,Arterial,MAJOR,OTTAWA ST S,HOWE DR,WILLIAMSBURG RD,,,1188,1224,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 734,2002/08/13 00:00:00+00,,,,24HR,188.681426250602
53046,10267,Arterial,MAJOR,VICTORIA ST N,NATCHEZ RD,SMETANA DR,1284,1412,1283,1381,REGIONAL RD 55,5,REG,TwoWay,GIS STAFF,2003/06/10 00:00:00+00,,,,24HR,504.235267444397
53051,8722,Arterial,MAJOR,WESTMOUNT RD W,WESTWOOD DR,GLASGOW ST,,,500,550,REGIONAL RD 50,4,REG,TwoWay,REG PLAN 402,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,333.883376566901
53064,6586,Arterial,MAJOR,OTTAWA ST S,HUNTSWORTH AVE,ELMSDALE DR,,,,,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1358,2002/08/13 00:00:00+00,,,,24HR,276.007315546433
53096,10485,Arterial,MAJOR,LANCASTER ST W,ARNOLD ST,ELIZABETH ST,273,285,280,280,REGIONAL RD 29,2,REG,TwoWay,REG PLAN 666,2003/04/22 00:00:00+00,,,,24HR,69.3226737430608
53098,12646,Arterial,MAJOR,LANCASTER ST W,HILL ST,GUELPH ST,155,187,172,196,REGIONAL RD 29,3,REG,TwoWay,REG PLAN 378,2003/04/22 00:00:00+00,,,,24HR,171.80200688531
53099,6961,Arterial,MAJOR,LANCASTER ST W,HILLVIEW ST,HILL ST,125,153,124,152,REGIONAL RD 29,2,REG,TwoWay,REG PLAN 250,2003/04/22 00:00:00+00,,,,24HR,132.054872403341
53100,602258,Roundabout,MAJOR,IRA NEEDLES BLVD,IRA NEEDLES BLVD,VICTORIA ST S,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/22 00:00:00+00,50,30664,2015,24HR,32.4765325591027
53101,22415,Arterial,MAJOR,FAIRWAY RD N,CHICOPEE HILLS DR,PEBBLECREEK DR,873,873,882,888,REGIONAL RD 53,5,REG,TwoWay,REG PLAN 1798,2003/04/22 00:00:00+00,,,,NO ACCESS,462.187064609393
53136,602403,Arterial,MAJOR,BLEAMS RD,NYLES DR,TRUSSLER RD,2091,2091,2150,2150,REGIONAL RD 56,2,REG,TwoWay,UNKNOWN,2004/06/08 00:00:00+00,70,5961,2015,24HR,853.786135507677
53143,1703,Arterial,MAJOR,HIGHLAND RD W,WEST AVE,VANCAMP AVE,107,111,114,114,REGIONAL RD  6,3,REG,TwoWay,REG PLAN 207,2003/04/22 00:00:00+00,,,,24HR,40.6033006297048
53144,1700,Arterial,MAJOR,HIGHLAND RD W,VANCAMP AVE,PATRICIA AVE,115,151,122,160,REGIONAL RD  6,3,REG,TwoWay,REG PLAN 207,2003/04/22 00:00:00+00,,,,24HR,163.278941602464
53241,22107,Arterial,MAJOR,FAIRWAY RD S,KING ST BYPASS ONRAMP,KING ST BYPASS OFFRAMP,,,,,REGIONAL RD 53,5,REG,TwoWay,58R-851,2003/04/22 00:00:00+00,,,,24HR,16.8756484581509
53247,16195,Arterial,MAJOR,KING ST E,RIVERBANK DR,KING ST BYPASS ONRAMP,3761,3849,3800,3880,REGIONAL RD  8,4,REG,TwoWay,58R-7361,2003/04/22 00:00:00+00,,,,24HR,783.782535035473
53256,602405,Arterial,MAJOR,BLEAMS RD,ISAIAH DR,NYLES DR,,,,,REGIONAL RD 56,3,REG,TwoWay,UNKNOWN,2004/06/08 00:00:00+00,70,4305,2015,24HR,206.232243326878
53257,9429,Arterial,MAJOR,BLEAMS RD,GEHL PL,ISAIAH DR,1801,1873,1800,1800,REGIONAL RD 56,2,REG,TwoWay,UNKNOWN,2004/06/08 00:00:00+00,70,4390,2015,24HR,757.059508018063
53258,40342,Arterial,MAJOR,BLEAMS RD,DONNENWERTH DR,GEHL PL,,,,,REGIONAL RD 56,2,REG,TwoWay,UNKNOWN,2005/02/18 00:00:00+00,70,3986,2015,24HR,330.947039420017
53260,7055,Arterial,MAJOR,WEBER ST W,WATER ST N,HEIT LANE,99,99,100,100,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 374,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,31.7410384119971
53264,7053,Arterial,MAJOR,WEBER ST W,HEIT LANE,VICTORIA ST N,111,111,,,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 374,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,64.8949590365796
53272,602128,Roundabout,MAJOR,IRA NEEDLES BLVD,HIGHVIEW DR,IRA NEEDLES BLVD,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/04 00:00:00+00,,,,NO ACCESS,27.2283559887386
53273,602129,Roundabout,MAJOR,IRA NEEDLES BLVD,IRA NEEDLES BLVD,HIGHVIEW DR,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/04 00:00:00+00,,,,NO ACCESS,32.5173218902763
53277,602127,Roundabout,MAJOR,IRA NEEDLES BLVD,HIGHVIEW DR,IRA NEEDLES BLVD,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/04 00:00:00+00,50,23504,2015,24HR,32.2187748696418
53278,602118,Roundabout,MAJOR,IRA NEEDLES BLVD,IRA NEEDLES BLVD,HIGHVIEW DR,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/04 00:00:00+00,,,,24HR,33.7861466768391
53284,25600,Ramp,MAJOR,HOMER WATSON ONRAMP,HURON RD,HOMER WATSON BLVD,,,,,REGIONAL RD 28,1,REG,FromTo,REG PLAN 576,2003/04/22 00:00:00+00,,,,24HR,588.736199666325
53289,10963,Arterial,MAJOR,WEBER ST E,FRANKLIN ST N,PINECREST DR,,,1157,1175,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 938,2003/05/30 00:00:00+00,,,,7-7 MON-FRI,86.2602418496356
53416,21496,Arterial,MAJOR,FISCHER HALLMAN RD,HALDIMAND ST,PLAINS RD,1940,1970,,,REGIONAL RD 58,2,REG,TwoWay,58R-1754,2004/02/09 00:00:00+00,,,,24HR,350.028560747329
53450,600126,Arterial,MAJOR,IRA NEEDLES BLVD,YELLOW BIRCH DR,HIGHVIEW DR,,,,,REGIONAL RD 70,4,REG,TwoWay,RP 1551,2003/12/18 00:00:00+00,,,,24HR,352.119910233811
53521,6650,Arterial,MAJOR,COURTLAND AVE E,CEDAR ST S,MADISON AVE S,160,160,151,181,REGIONAL RD 53,2,REG,TwoWay,REG PLAN 395,2003/04/22 00:00:00+00,,,,24HR,128.286152409282
53524,22260,Arterial,MAJOR,SPORTSWORLD DR,KING ST BYPASS OFFRAMP,KING ST BYPASS OFFRAMP,,,,,REGIONAL RD 38,2,REG,TwoWay,REG PLAN 1725,2003/04/22 00:00:00+00,70,26345,2015,NO ACCESS,191.830493660899
53526,22238,Arterial,MAJOR,SPORTSWORLD DR,KING ST BYPASS OFFRAMP,CAMBRIDGE BOUNDARY,200,200,,,REGIONAL RD 38,2,REG,TwoWay,58R-5802,2003/04/22 00:00:00+00,70,21748,2015,NO ACCESS,193.795071537409
53549,13107,Arterial,MAJOR,BRIDGE ST E,GRAND AVE,SCHWEITZER ST,71,73,,,REGIONAL RD 52,3,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,123.721791572009
53550,12634,Arterial,MAJOR,BRIDGE ST E,SCHWEITZER ST,TAGGE ST,103,103,116,116,REGIONAL RD 52,2,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,224.946086506263
53572,1725,Arterial,MAJOR,WESTMOUNT RD W,VICTORIA ST S,KARN ST,,,340,400,REGIONAL RD 50,5,REG,TwoWay,REG PLAN 1268,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,317.023508002931
53587,9423,Arterial,MAJOR,OTTAWA ST S,WILSONS RD,BENNINGER DR,1893,2069,1890,2056,REGIONAL RD  4,2,REG,TwoWay,58M-643,2003/04/22 00:00:00+00,,,,24HR,681.000673941654
53588,102903,Roundabout,MAJOR,IRA NEEDLES BLVD,UNIVERSITY AVE W,IRA NEEDLES BLVD,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/22 00:00:00+00,,,,NO ACCESS,40.2460329476715
53610,13118,Arterial,MAJOR,BRIDGE ST E,TYSON DR,BLOOMINGDALE RD,13,29,14,26,REGIONAL RD 52,3,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,139.869697652713
53625,6801,Arterial,MAJOR,FREDERICK ST,KING ST E,GOUDIES LANE,,,,,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 364,2003/04/22 00:00:00+00,,,,24HR,60.6245597367653
53626,6802,Arterial,MAJOR,FREDERICK ST,GOUDIES LANE,DUKE ST E,22,22,25,49,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 364,2003/04/22 00:00:00+00,,,,24HR,78.4112992495528
53634,7042,Arterial,MAJOR,LANCASTER ST W,BREITHAUPT ST,WELLINGTON ST N,55,63,50,68,REGIONAL RD 29,4,REG,TwoWay,REG PLAN 139,2003/04/22 00:00:00+00,,,,24HR,71.0928420574186
53645,22863,Arterial,MAJOR,OTTAWA ST N,NOTTINGHAM AVE,DREGER AVE,,,,,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 1055,2003/12/18 00:00:00+00,,,,7-7 MON-SAT,439.863726429193
53646,13158,Arterial,MAJOR,WEBER ST E,ROSS AVE,WILFRED AVE,,,,,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 267,2003/05/30 00:00:00+00,,,,7-7 MON-FRI,139.461491761237
53669,13090,Arterial,MAJOR,BRIDGE ST E,BLOOMINGDALE RD,GRAND AVE,45,61,42,70,REGIONAL RD 52,2,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,232.123025758486
53693,23061,Arterial,MAJOR,FAIRWAY RD N,MORGAN AVE,JANSEN AVE,94,108,91,99,REGIONAL RD 53,4,REG,TwoWay,REG PLAN 589,2003/04/22 00:00:00+00,,,,24HR,151.675231465488
53708,11654,Local Street,LOCAL,BORDEN AVE S,COURTLAND AVE E,END,233,285,,,REGIONAL RD 66,2,REG,TwoWay,,1970/01/01 00:00:00+00,,,,NO ACCESS,253.907787434562
53709,10103,Arterial,MAJOR,COURTLAND AVE E,SHELLEY DR,SIEBERT AVE,1200,1200,,,REGIONAL RD 53,5,REG,TwoWay,REG PLAN 1221,2002/08/13 00:00:00+00,,,,24HR,145.186230419082
53719,8788,Arterial,MAJOR,VICTORIA ST S,JOSEPH ST,ARTHUR PL,69,69,72,86,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 421,2003/04/22 00:00:00+00,,,,24HR,78.1251159118413
53720,1569,Arterial,MAJOR,WEBER ST W,GUELPH ST,RAITAR AVE,341,357,336,368,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 373,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,172.240552058623
53742,10991,Arterial,MAJOR,WEBER ST E,ARLINGTON BLVD,FERGUS AVE,1236,1250,1221,1333,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 267,2003/05/30 00:00:00+00,,,,7-7 MON-FRI,342.363436086364
53770,10714,Arterial,MAJOR,FAIRWAY RD S,WILSON AVE,MANITOU DR,419,655,310,696,REGIONAL RD 53,5,REG,TwoWay,MCP 962,2002/08/13 00:00:00+00,,,,24HR,908.648438042924
53771,10703,Arterial,MAJOR,MANITOU DR,COURTLAND AVE E,WEBSTER RD,10,26,5,29,REGIONAL RD 69,5,REG,TwoWay,REG PLAN 586,2002/08/13 00:00:00+00,,,,24HR,379.029576783207
53775,102904,Arterial,MAJOR,IRA NEEDLES BLVD,GLASGOW ST,THE BOARDWALK,,,,,REGIONAL RD 70,4,REG,TwoWay,58R-6517,2004/02/18 00:00:00+00,,,,24HR,109.827533443943
53776,102699,Roundabout,MAJOR,BRIDGE ST E,LANCASTER ST W,BRIDGE ST E,,,,,REGIONAL RD 52,2,REG,FromTo,REGION,2009/08/25 00:00:00+00,,,,24HR,27.7118717082683
53777,102696,Roundabout,MAJOR,BRIDGE ST E,BRIDGE ST E,CARISBROOK DR,,,,,REGIONAL RD 52,2,REG,FromTo,REGION,2009/08/23 00:00:00+00,50,18065,2015,24HR,19.9804490495002
53778,102698,Roundabout,MAJOR,BRIDGE ST W,CARISBROOK DR,BRIDGE ST W,,,,,REGIONAL RD 52,2,REG,FromTo,REGION,2009/08/23 00:00:00+00,,,,24HR,30.2354568670528
53779,102697,Roundabout,MAJOR,BRIDGE ST W,BRIDGE ST W,LANCASTER ST W,,,,,REGIONAL RD 52,2,REG,FromTo,REGION,2009/08/23 00:00:00+00,,,,24HR,23.2172994362583
53787,6508,Arterial,MAJOR,WESTMOUNT RD E,FOREST HILL DR,EVERGREEN CRES,104,170,105,179,REGIONAL RD 50,4,REG,TwoWay,REG PLAN 883,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,270.400242640232
53817,6506,Arterial,MAJOR,WESTMOUNT RD E,EVERGREEN CRES,GREENBROOK DR,196,204,185,203,REGIONAL RD 50,5,REG,TwoWay,REG PLAN 946,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,87.8056340309511
53818,6493,Arterial,MAJOR,WESTMOUNT RD E,GREENBROOK DR,VILLAGE RD,220,220,219,219,REGIONAL RD 50,5,REG,TwoWay,REG PLAN 946,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,96.804672832852
53820,6143,Arterial,MAJOR,FISCHER HALLMAN RD,MCGARRY DR,C_PKY STR ONRAMP,336,414,,,REGIONAL RD 58,5,REG,TwoWay,REG PLAN 1052,2003/04/22 00:00:00+00,,,,24HR,414.093518324781
53846,15976,Arterial,MAJOR,KING ST E,LIMERICK DR,401 LON ONRAMP,4585,4611,4574,4592,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 1745,2003/04/22 00:00:00+00,,,,24HR,314.612939697926
53868,25665,Ramp,MAJOR,HOMER WATSON OFFRAMP,HOMER WATSON BLVD,HURON RD,,,,,REGIONAL RD 28,1,REG,ToFrom,REG PLAN 576,2003/04/22 00:00:00+00,,,,24HR,323.527598863502
53939,6863,Arterial,MAJOR,WEBER ST E,MADISON AVE N,CAMERON ST N,140,154,143,157,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 126,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,125.207388096749
53940,6859,Arterial,MAJOR,WEBER ST E,CAMERON ST N,BETZNER AVE N,160,170,161,175,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 126,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,98.2760644946754
53943,11092,Arterial,MAJOR,WEBER ST W,WILHELM ST,REINHARDT ST,225,269,236,264,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 131,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,146.22369885603
53958,11445,Arterial,MAJOR,COURTLAND AVE E,C_PKY STR ONRAMP,C_PKY STR ONRAMP,,,,,REGIONAL RD 53,4,REG,TwoWay,MCP 791,2003/04/22 00:00:00+00,,,,24HR,97.423101851737
54000,20571,Arterial,MAJOR,FISCHER HALLMAN RD,WATERLOO BOUNDARY,GLASGOW ST,,,851,851,REGIONAL RD 58,6,REG,TwoWay,REG PLAN 1625,2003/04/22 00:00:00+00,,,,24HR,272.910930122488
54001,31312,Roundabout,MAJOR,IRA NEEDLES BLVD,IRA NEEDLES BLVD,UNIVERSITY AVE W,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/22 00:00:00+00,,,,24HR,36.9655939141067
54002,31311,Roundabout,MAJOR,IRA NEEDLES BLVD,UNIVERSITY AVE W,IRA NEEDLES BLVD,,,,,REGIONAL RD 70,2,REG,FromTo,PUBLIC,2006/12/22 00:00:00+00,50,33363,2015,24HR,36.686445769011
54011,40250,Arterial,MAJOR,VICTORIA ST S,HIGHGATE RD,END,,,,,REGIONAL RD 55,2,REG,TwoWay,58M-117,2003/04/22 00:00:00+00,,,,NO ACCESS,337.345671014655
54028,40174,Arterial,MAJOR,VICTORIA ST N,WATER ST N,AHRENS ST W,,,,,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 374,2003/04/22 00:00:00+00,,,,24HR,13.6313622635485
54033,6754,Arterial,MAJOR,FREDERICK ST,SPETZ ST,IRVIN ST,134,150,129,153,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 32,2003/04/22 00:00:00+00,,,,7-7 MON-SAT,113.431094068494
54046,601977,Arterial,MAJOR,KING ST E,WEBER ST E,KING ST BYPASS OFFRAMP,2899,2899,2880,2880,REGIONAL RD  8,6,REG,TwoWay,REG PLAN 589,2003/04/22 00:00:00+00,,,,NO ACCESS,65.0593695749824
54047,12115,Arterial,MAJOR,KING ST E,KING ST BYPASS OFFRAMP,KINGSBURY DR,2905,2919,2900,2934,REGIONAL RD  8,6,REG,TwoWay,REG PLAN 589,2003/04/22 00:00:00+00,,,,24HR,150.463012889097
54055,6776,Arterial,MAJOR,FREDERICK ST,WEBER ST E,SPETZ ST,122,122,101,127,REGIONAL RD  6,5,REG,TwoWay,REG PLAN 401,2003/04/22 00:00:00+00,,,,7-7 MON-SAT,105.201883658088
54058,11747,Arterial,MAJOR,OTTAWA ST S,IMPERIAL DR,C_PKY WAT ONRAMP,,,,,REGIONAL RD  4,4,REG,TwoWay,58R-2671,2003/04/22 00:00:00+00,,,,24HR,159.11924923185
54059,11761,Arterial,MAJOR,OTTAWA ST S,C_PKY WAT ONRAMP,HOMER WATSON BLVD,,,,,REGIONAL RD  4,6,REG,TwoWay,58R-1570,2003/04/22 00:00:00+00,,,,24HR,76.1076853277084
54061,11438,Arterial,MAJOR,COURTLAND AVE E,C_PKY WAT OFFRAMP,C_PKY STR ONRAMP,,,,,REGIONAL RD 53,5,REG,TwoWay,58R-1275,2003/04/22 00:00:00+00,,,,24HR,106.839667477428
54074,1359,Arterial,MAJOR,WESTMOUNT RD W,RUSHOLME RD,FORSYTH DR,773,773,,,REGIONAL RD 50,4,REG,TwoWay,REG PLAN 352,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,58.1745445998518
54075,10093,Arterial,MAJOR,COURTLAND AVE E,BLOCK LINE RD,SHELLEY DR,1100,1144,,,REGIONAL RD 53,6,REG,TwoWay,REG PLAN 1206,2002/08/13 00:00:00+00,,,,24HR,256.802136226133
54077,103944,Arterial,MAJOR,COURTLAND AVE E,HILLMOUNT ST,BLOCK LINE RD,1050,1064,,,REGIONAL RD 53,5,REG,TwoWay,REG PLAN 1206,2002/08/13 00:00:00+00,,,,24HR,187.218532560755
54095,10204,Arterial,MAJOR,OTTAWA ST N,C_PKY WAT ONRAMP,C_PKY WAT OFFRAMP,,,,,REGIONAL RD  4,4,REG,TwoWay,REG PLAN  944,2003/04/22 00:00:00+00,,,,24HR,47.784728326329
54114,40084,Arterial,MAJOR,KING ST E,JACKSON AVE,CHARLES ST E,,,1508,1570,REGIONAL RD 15,4,REG,TwoWay,REG PLAN 657,2003/04/22 00:00:00+00,,,,24HR,171.994845172806
54115,10070,Arterial,MAJOR,KING ST E,CHARLES ST E,MONTGOMERY RD,,,1620,2300,REGIONAL RD 15,4,REG,TwoWay,REG PLAN 649,2003/04/22 00:00:00+00,,,,24HR,377.146640783865
54119,103099,Arterial,MAJOR,FAIRWAY RD N,PEBBLECREEK DR,OLD ZELLER DR,,,,,REGIONAL RD 53,5,REG,TwoWay,REGION OF WATERLOO,2011/12/08 00:00:00+00,,,,NO ACCESS,402.83079510482
54122,6891,Collector,MINOR,BORDEN AVE S,NYBERG ST,DUNDAS AVE,,,150,160,REGIONAL RD 66,2,REG,TwoWay,,1970/01/01 00:00:00+00,,,,NO ACCESS,84.8015761308645
54123,9221,Collector,MINOR,BORDEN AVE S,CHARLES ST E,NYBERG ST,51,51,50,94,REGIONAL RD 66,2,REG,TwoWay,,1970/01/01 00:00:00+00,,,,NO ACCESS,316.190721569506
54124,6895,Collector,MINOR,BORDEN AVE S,BEDFORD RD,COURTLAND AVE E,191,193,190,200,REGIONAL RD 66,2,REG,TwoWay,,1970/01/01 00:00:00+00,,,,NO ACCESS,98.9249499256441
54153,10259,Arterial,MAJOR,VICTORIA ST N,SMETANA DR,LACKNER BLVD,1420,1450,1421,1431,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 947,2003/04/22 00:00:00+00,,,,24HR,216.115426383882
54157,20719,Arterial,MAJOR,HIGHLAND RD W,WESTMOUNT RD W,HIGHLAND CRES,491,525,,,REGIONAL RD  6,6,REG,TwoWay,REG PLAN 1004,2003/04/22 00:00:00+00,,,,24HR,168.4504222778
54176,6376,Arterial,MAJOR,OTTAWA ST S,MOWAT BLVD,WESTMOUNT RD E,1001,1001,,,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1242,2002/08/13 00:00:00+00,,,,24HR,276.205454403878
54178,103102,Roundabout,MAJOR,FAIRWAY RD N,WOOLNER TRAIL,FAIRWAY RD N,,,,,REGIONAL RD 53,2,REG,FromTo,REGION OF WATERLOO,2011/12/08 00:00:00+00,50,12873,2015,NO ACCESS,27.5233529700257
54179,103100,Roundabout,MAJOR,FAIRWAY RD N,OLD ZELLER DR,FAIRWAY RD N,,,,,REGIONAL RD 53,2,REG,FromTo,REGION OF WATERLOO,2011/12/08 00:00:00+00,,,,NO ACCESS,31.9257465408485
54180,103101,Roundabout,MAJOR,FAIRWAY RD N,FAIRWAY RD N,WOOLNER TRAIL,,,,,REGIONAL RD 53,2,REG,FromTo,REGION OF WATERLOO,2011/12/08 00:00:00+00,,,,NO ACCESS,42.1650706661954
54192,21804,Arterial,MAJOR,MANITOU DR,BLEAMS RD,WABANAKI DR,110,148,107,241,REGIONAL RD 69,4,REG,TwoWay,MCP 1036,2002/08/13 00:00:00+00,,,,24HR,479.675392060211
54193,21823,Arterial,MAJOR,MANITOU DR,WABANAKI DR,SASAGA DR,262,280,257,277,REGIONAL RD 69,5,REG,TwoWay,MCP 1036,2002/08/13 00:00:00+00,,,,24HR,149.249926585251
54203,11358,Arterial,MAJOR,CHARLES ST E,MADISON AVE S,MADISON AVE S,,,,,REGIONAL RD 64,2,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,65.0202951158532
54204,11368,Arterial,MAJOR,CHARLES ST E,MADISON AVE S,CAMERON ST S,,,,,REGIONAL RD 64,3,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,63.2974333377786
54216,10129,Arterial,MAJOR,OTTAWA ST N,MCKENZIE AVE,C_PKY STR OFFRAMP,184,248,197,257,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 650,2003/04/22 00:00:00+00,,,,24HR,263.157963037588
54221,17360,Arterial,MAJOR,KING ST E,401 LON ONRAMP,401 LON OFFRAMP,,,4610,4610,REGIONAL RD  8,4,REG,TwoWay,PLAN 170,2003/04/22 00:00:00+00,50,49793,2015,24HR,190.276546351516
54229,10944,Arterial,MAJOR,HOMER WATSON BLVD,HANSON AVE,BLOCK LINE RD,,,,,REGIONAL RD 28,4,REG,TwoWay,REG PLAN 1335,2002/08/13 00:00:00+00,,,,24HR,695.316432390522
54230,9611,Arterial,MAJOR,HOMER WATSON BLVD,BLOCK LINE RD,BLEAMS RD,701,951,,,REGIONAL RD 28,5,REG,TwoWay,REG PLAN 1376,2002/08/13 00:00:00+00,,,,24HR,1178.69334012438
54247,17196,Arterial,MAJOR,KING ST E,401 LON OFFRAMP,401 LON ONRAMP,,,,,REGIONAL RD  8,4,REG,TwoWay,PLAN 170,2003/04/22 00:00:00+00,50,49793,2015,24HR,16.9146690877499
54306,40111,Arterial,MAJOR,OTTAWA ST N,KEEWATIN AVE,END,,,,,REGIONAL RD  4,3,REG,TwoWay,REG PLAN 1678,2003/04/22 00:00:00+00,50,100,2015,NO ACCESS,24.6192278676639
54308,40099,Arterial,MAJOR,OTTAWA ST N,LACKNER BLVD,KEEWATIN AVE,,,1505,1505,REGIONAL RD  4,3,REG,TwoWay,REG PLAN 1678,2003/04/22 00:00:00+00,,,,NO ACCESS,522.485955000342
54310,22330,Arterial,MAJOR,WEBER ST E,KINZIE AVE,KING ST E,1458,1500,1455,1501,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 589,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,231.651167099175
54312,21492,Arterial,MAJOR,TRUSSLER RD,BETHEL RD,PLAINS RD,2232,2232,,,REGIONAL RD 70,2,REG,TwoWay,WDR-224,2003/04/22 00:00:00+00,,,,NO ACCESS,1313.38850087834
54316,104704,Collector,MINOR,HAYWARD AVE,COURTLAND AVE E,RAILWAY ROW,130,130,135,135,REGIONAL RD 67,2,REG,TwoWay,MCP 757,2002/08/13 00:00:00+00,,,,NO ACCESS,222.694905607301
54325,20801,Arterial,MAJOR,VICTORIA ST S,OPRINGTON DR,WESTFOREST TRAIL,,,,,REGIONAL RD 55,3,REG,TwoWay,REG PLAN 1688,2003/04/22 00:00:00+00,,,,NO ACCESS,536.409334666057
