desigcomercial,numbicicletas,numdocasvacias,position,add_data,add_hora
426 - Av. Elias Garcia / Av. 5 de Outubro,7,7,"{""coordinates"": [-9.14793, 38.739046], ""type"": ""Point""}",2021-05-11,10:49:15.
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,6,13,"{""coordinates"": [-9.151, 38.735], ""type"": ""Point""}",2021-05-11,10:49:16.
207 - Av. Brasília / Santos {Rio},0,10,"{""coordinates"": [-9.151101, 38.705443], ""type"": ""Point""}",2020-04-15,14:19:12.
222 - Praça da Figueira,5,25,"{""coordinates"": [-9.13828, 38.71383], ""type"": ""Point""}",2020-09-24,10:32:47.
215 - Av. 24 de Julho,3,14,"{""coordinates"": [-9.14949, 38.70662], ""type"": ""Point""}",2020-09-24,10:32:43.
103-Jardim da Ã�gua,2,18,"{""coordinates"": [-9.095019, 38.761218], ""type"": ""Point""}",2020-09-23,16:12:26.
309 - Rua da Palma,1,9,"{""coordinates"": [-9.13577, 38.71901], ""type"": ""Point""}",2021-05-11,10:48:17.
428 - Av. República / Avenida Barbosa Du Bocage,1,11,"{""coordinates"": [-9.14684, 38.74047], ""type"": ""Point""}",2021-05-11,10:48:39.
475 - Av. Professor Gama Pinto / Cantina Velha,18,23,"{""coordinates"": [-9.15907, 38.75115], ""type"": ""Point""}",2021-05-11,10:48:16.
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,6,14,"{""coordinates"": [-9.12769, 38.71035], ""type"": ""Point""}",2021-05-11,10:48:18.
486 - Rua Hermano Neves / Rua José Escada,8,6,"{""coordinates"": [-9.16985, 38.75954], ""type"": ""Point""}",2021-05-11,10:48:39.
463 - Campo Grande / Av. da Igreja,8,2,"{""coordinates"": [-9.14951, 38.75243], ""type"": ""Point""}",2021-05-11,10:48:14.
107 - Rotunda dos Vice-Reis,3,11,"{""coordinates"": [-9.095416, 38.774505], ""type"": ""Point""}",2021-05-11,10:48:40.
456 - Entrecampos / Av. das Forças Armadas,3,38,"{""coordinates"": [-9.14872, 38.74877], ""type"": ""Point""}",2021-05-11,10:48:40.
457 - Rua Aboim Ascensão,0,10,"{""coordinates"": [-9.14722, 38.74975], ""type"": ""Point""}",2021-05-11,10:48:41.
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,6,10,"{""coordinates"": [-9.17849, 38.76026], ""type"": ""Point""}",2021-05-11,10:48:42.
472 - Rua Marquês Soveral / ES Padre António Vieira,5,9,"{""coordinates"": [-9.13608, 38.75784], ""type"": ""Point""}",2021-05-11,10:49:07.
442 - Campo Pequeno,1,15,"{""coordinates"": [-9.14523, 38.743371], ""type"": ""Point""}",2021-05-11,10:49:07.
416 - Av. República / Avenida Duque de Ávila,4,12,"{""coordinates"": [-9.14553, 38.735304], ""type"": ""Point""}",2021-05-11,10:49:08.
301 - Avenida da Liberdade / Restauradores,7,15,"{""coordinates"": [-9.14242, 38.71702], ""type"": ""Point""}",2021-05-11,10:49:00.
480 - Faculdade de Ciências,13,12,"{""coordinates"": [-9.15503, 38.75587], ""type"": ""Point""}",2021-05-11,10:49:13.
410 - Rua da Mesquita / Universidade Nova de Lisboa,9,31,"{""coordinates"": [-9.16015, 38.73492], ""type"": ""Point""}",2021-05-11,10:49:14.
431 - Rua do Arco Cego / Av. Magalhães Lima,6,8,"{""coordinates"": [-9.14199, 38.73937], ""type"": ""Point""}",2021-05-11,10:49:14.
101 - Alameda dos Oceanos / Rua dos Argonautas,6,10,"{""coordinates"": [-9.096804, 38.756161], ""type"": ""Point""}",2021-05-11,11:03:03.
303 - Avenida da Liberdade / Rua das Pretas,0,16,"{""coordinates"": [-9.14455, 38.71957], ""type"": ""Point""}",2019-07-01,16:35:49.
206 - Av. Brasília / Doca de Alcântara,1,21,"{""coordinates"": [-9.17502, 38.70141], ""type"": ""Point""}",2021-03-25,08:25:49.
222 - Praça da Figueira,13,17,"{""coordinates"": [-9.13828, 38.71383], ""type"": ""Point""}",2021-05-11,10:48:15.
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,7,3,"{""coordinates"": [-9.152295, 38.737911], ""type"": ""Point""}",2021-05-11,10:48:18.
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,1,13,"{""coordinates"": [-9.150085, 38.746836], ""type"": ""Point""}",2021-05-11,10:48:20.
105 - CC Vasco da Gama,8,32,"{""coordinates"": [-9.096222, 38.768548], ""type"": ""Point""}",2021-05-11,10:48:14.
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,5,10,"{""coordinates"": [-9.13749, 38.75176], ""type"": ""Point""}",2021-05-11,10:48:40.
215 - Av. 24 de Julho,4,13,"{""coordinates"": [-9.14949, 38.70662], ""type"": ""Point""}",2021-05-11,10:48:42.
114 - Via do Oriente,7,3,"{""coordinates"": [-9.09974, 38.78836], ""type"": ""Point""}",2021-05-11,10:48:41.
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,0,10,"{""coordinates"": [-9.15425, 38.73432], ""type"": ""Point""}",2021-05-11,10:48:42.
446 - Av. República / Interface Entrecampos ,1,39,"{""coordinates"": [-9.14773, 38.74456], ""type"": ""Point""}",2021-05-11,10:49:00.
443 - Av. de Roma / Fórum Lisboa,1,13,"{""coordinates"": [-9.13866, 38.74351], ""type"": ""Point""}",2021-05-11,10:49:01.
476 - Av. Professor Gama Pinto / Reitoria,17,6,"{""coordinates"": [-9.15885, 38.75231], ""type"": ""Point""}",2021-05-11,10:49:10.
224 - Martim Moniz,0,22,"{""coordinates"": [-9.13651, 38.71498], ""type"": ""Point""}",2021-05-11,10:49:14.
218 - Cais do Sodré,1,21,"{""coordinates"": [-9.14471, 38.70617], ""type"": ""Point""}",2021-05-11,10:49:16.
477 - Alameda da Universidade / Faculdade de Direito,0,24,"{""coordinates"": [-9.15671, 38.75264], ""type"": ""Point""}",2019-07-03,17:16:53.
103 - Jardim da Água,15,5,"{""coordinates"": [-9.095019, 38.761218], ""type"": ""Point""}",2021-05-11,10:48:42.
305 - Avenida da Liberdade / Rua Barata Salgueiro,4,12,"{""coordinates"": [-9.147, 38.72228], ""type"": ""Point""}",2021-05-11,10:48:42.
464 - Av. da Igreja / Rua Afonso Lopes Vieira,13,1,"{""coordinates"": [-9.148427, 38.75165], ""type"": ""Point""}",2021-05-11,10:48:43.
427 - Av. República / Av. Visconde Valmor,0,12,"{""coordinates"": [-9.14617, 38.73812], ""type"": ""Point""}",2021-05-11,10:48:43.
432 - Praça de Londres,2,8,"{""coordinates"": [-9.1377, 38.7407], ""type"": ""Point""}",2021-05-11,10:48:19.
104 - Gare do Oriente,6,34,"{""coordinates"": [-9.097322, 38.766716], ""type"": ""Point""}",2021-05-11,10:48:18.
483 - Rua Professor Francisco Lucas Pires ,10,6,"{""coordinates"": [-9.16405, 38.75939], ""type"": ""Point""}",2021-05-11,10:48:42.
420 - Av. Rovisco Pais / Av. Manuel da Maia,17,11,"{""coordinates"": [-9.13672, 38.73617], ""type"": ""Point""}",2021-05-11,10:48:42.
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,8,5,"{""coordinates"": [-9.09781, 38.793], ""type"": ""Point""}",2021-05-11,10:49:06.
450 - Rua Alfredo Cortês,0,10,"{""coordinates"": [-9.14399, 38.74626], ""type"": ""Point""}",2021-05-11,10:48:40.
403 - Av. Fontes Pereira de Melo,8,12,"{""coordinates"": [-9.146522, 38.731698], ""type"": ""Point""}",2021-05-11,10:48:17.
219 - Praça do Município,11,11,"{""coordinates"": [-9.13951, 38.70797], ""type"": ""Point""}",2021-05-11,10:48:15.
485 - Rua Tomás da Fonseca / Rua António Albino Machado,6,4,"{""coordinates"": [-9.17, 38.756], ""type"": ""Point""}",2021-05-11,10:49:08.
113 - Alameda dos Oceanos/ Passeio do Levante,9,5,"{""coordinates"": [-9.09825, 38.78414], ""type"": ""Point""}",2021-05-11,11:03:04.
