county,month,rainfall,raindays
Vila Franca de Xira,12/2019,93.6,11
Vila Franca de Xira,01/2020,52.4,16
Vila Franca de Xira,02/2020,4.5,7
Vila Franca de Xira,03/2020,67.7,14
Vila Franca de Xira,04/2020,83.5,20
Vila Franca de Xira,05/2020,51.4,9
Vila Franca de Xira,06/2020,3.1,7
Vila Franca de Xira,07/2020,8,5
Vila Franca de Xira,08/2020,1.5,3
Vila Franca de Xira,09/2020,25,7
Vila Franca de Xira,10/2020,51.4,11
Vila Franca de Xira,11/2020,82,13
Vila Franca de Xira,12/2020,53.5,20
Vila Franca de Xira,01/2021,45.9,14
Vila Franca de Xira,02/2021,175.5,19
Vila Franca de Xira,03/2021,51.3,6
Oeiras,09/2019,6.7,2
Oeiras,10/2019,28.5,12
Oeiras,11/2019,71.1,24
Oeiras,12/2019,53.9,11
Oeiras,01/2020,40,15
Oeiras,02/2020,5.3,7
Oeiras,03/2020,50.7,17
Oeiras,04/2020,74.2,18
Oeiras,05/2020,54.6,9
Oeiras,06/2020,5.1,6
Oeiras,07/2020,12.4,4
Oeiras,08/2020,3.6,5
Oeiras,09/2020,65.7,7
Oeiras,10/2020,47.3,13
Oeiras,11/2020,86.5,15
Oeiras,12/2020,42.4,22
Oeiras,01/2021,30.3,18
Oeiras,02/2021,120.3,21
Oeiras,03/2021,43.7,3
Alcochete,09/2019,3.9,2
Alcochete,10/2019,22.5,11
Alcochete,11/2019,54.9,21
Alcochete,12/2019,60.1,10
Alcochete,01/2020,32.9,16
Alcochete,02/2020,4.1,7
Alcochete,03/2020,57.2,14
Alcochete,04/2020,54.5,19
Alcochete,05/2020,44.8,10
Alcochete,06/2020,4.8,5
Alcochete,07/2020,8.1,3
Alcochete,08/2020,1.3,3
Alcochete,09/2020,25.3,6
Alcochete,10/2020,34.4,11
Alcochete,11/2020,78,15
Alcochete,12/2020,29,20
Alcochete,01/2021,23.4,16
Alcochete,02/2021,110.7,20
Alcochete,03/2021,29,5
Almada,09/2019,3.3,2
Almada,10/2019,19.1,12
Almada,11/2019,44.3,23
Almada,12/2019,43.3,10
Almada,01/2020,25.5,15
Almada,02/2020,2.4,4
Almada,03/2020,29.7,15
Almada,04/2020,38.6,17
Almada,05/2020,22.9,8
Almada,06/2020,2.7,4
Almada,07/2020,4.7,3
Almada,08/2020,0.8,2
Almada,09/2020,22.6,6
Almada,10/2020,32,12
Almada,11/2020,51.9,14
Almada,12/2020,37,20
Almada,01/2021,25.7,15
Almada,02/2021,67.1,19
Almada,03/2021,18.5,5
Barreiro,09/2019,3.3,2
Barreiro,10/2019,19.1,12
Barreiro,11/2019,44.3,23
Barreiro,12/2019,43.3,10
Barreiro,01/2020,25.5,15
Barreiro,02/2020,2.4,4
Barreiro,03/2020,29.7,15
Barreiro,04/2020,38.6,17
Barreiro,05/2020,22.9,8
Barreiro,06/2020,2.7,4
Barreiro,07/2020,4.7,3
Barreiro,08/2020,0.8,2
Barreiro,09/2020,22.6,6
Barreiro,10/2020,32,12
Barreiro,11/2020,51.9,14
Barreiro,12/2020,37,20
Barreiro,01/2021,25.7,15
Barreiro,02/2021,67.1,19
Barreiro,03/2021,18.5,5
Montijo,09/2019,3.9,2
Montijo,10/2019,22.5,11
Montijo,11/2019,54.9,21
Montijo,12/2019,60.1,10
Montijo,01/2020,32.9,16
Montijo,02/2020,4.1,7
Montijo,03/2020,57.2,14
Montijo,04/2020,54.5,19
Montijo,05/2020,44.8,10
Montijo,06/2020,4.8,5
Montijo,07/2020,8.1,3
Montijo,08/2020,1.3,3
Montijo,09/2020,25.3,6
Montijo,10/2020,34.4,11
Montijo,11/2020,78,15
Montijo,12/2020,29,20
Montijo,01/2021,23.4,16
Montijo,02/2021,110.7,20
Montijo,03/2021,29,5
Moita,09/2019,3.9,2
Moita,10/2019,22.5,11
Moita,11/2019,54.9,21
Moita,12/2019,60.1,10
Moita,01/2020,32.9,16
Moita,02/2020,4.1,7
Moita,03/2020,57.2,14
Moita,04/2020,54.5,19
Moita,05/2020,44.8,10
Moita,06/2020,4.8,5
Moita,07/2020,8.1,3
Moita,08/2020,1.3,3
Moita,09/2020,25.3,6
Moita,10/2020,34.4,11
Moita,11/2020,78,15
Moita,12/2020,29,20
Moita,01/2021,23.4,16
Moita,02/2021,110.7,20
Moita,03/2021,29,5
Palmela,09/2019,8.1,2
Palmela,10/2019,41.2,11
Palmela,11/2019,80.9,23
Palmela,12/2019,130.1,11
Palmela,01/2020,44.5,17
Palmela,02/2020,4.2,5
Palmela,03/2020,52.5,14
Palmela,04/2020,114,21
Palmela,05/2020,74.3,10
