Freguesia;Fevereiro de 2021;Janeiro de 2021;Dezembro de 2020;Novembro de 2020;Outubro de 2020;Setembro de 2020;Agosto de 2020;Julho de 2020;Junho de 2020;Maio de 2020;Abril de 2020;Março de 2020;Fevereiro de 2020;Janeiro de 2020;Dezembro de 2019;Novembro de 2019;Outubro de 2019;Setembro de 2019;Agosto de 2019;Julho de 2019;Junho de 2019;Maio de 2019;Abril de 2019;Março de 2019;Fevereiro de 2019;Janeiro de 2019
1840208: Ferreira do Alentejo;1073020;1198590;1725650;1481890;1498160;1508560;1547180;1608760;1418670;1341870;1050200;1309100;1406110;1411050;1738000;1528060;1509610;1457920;1558400;1617880;1547710;1550140;1457800;1457250;1292250;1305720
1840209: Mértola;737100;808400;1120675;1046795;1054530;1153750;1472200;1345665;1053845;924180;716625;893800;950585;896135;1201465;995265;1071655;1057665;1563985;1326195;1044275;1162085;1020730;975140;839790;917735
1840210: Moura;2029665;2106325;3216755;2785025;2713355;2607785;2707520;2953210;2698640;2427850;1859580;2368290;2698700;2743280;3475155;3008265;2882240;2778760;3283850;3247665;2896265;3010070;2857975;2834790;2491620;2634715
1840212: Ourique;668610;738490;1047335;900085;912645;836860;927785;1017475;915390;826375;613905;803220;805380;879770;1114855;958510;973295;920525;1055290;1029390;938470;1034950;917305;1029540;844030;857865
1840213: Serpa;2142080;2373190;3238460;2950720;2965410;2792760;2963920;3058820;2690950;2423240;1888470;2416700;2691890;2676900;3379850;2940660;2892390;2660200;3189250;3072820;2786710;2880910;2791520;2700550;2453570;2531690
1840214: Vidigueira;810260;827740;1143210;1039040;1070170;1063590;1146290;1131390;1057780;931230;763280;935290;968240;982500;1195410;1099620;1085230;1033710;1260630;1180320;1052900;1133080;1069060;1054870;942520;975780
1851403: Almeirim;3178930;3397630;4986940;4054830;4185950;4053670;4296120;4463560;3716610;3618340;2870820;3608060;4101040;4082120;5078690;4403810;4455450;4256890;4383780;4582690;4380180;4361510;4041040;4186380;3807480;3889590
1851404: Alpiarça;849965;854380;1292070;1051310;1028860;1004620;1064615;1134515;1054405;969855;767520;934385;1049460;972530;1236635;1032520;1091255;1051800;1079220;1150475;1088305;1078150;944030;1023665;911845;925030
1851103: Azambuja;3498855;3797620;5264005;4376500;4723945;4462160;4729240;5082640;4360240;4047195;3053355;4056550;4696400;4517115;5780390;5057555;5355220;5146645;5534850;5671370;5575005;5784300;5137645;5306530;4715985;4741620
1851405: Benavente;5157950;5330560;7797205;6604985;6866035;6442020;6285945;7068005;6203345;5702855;4161970;5337255;6185915;6134135;7711915;6793525;6811205;6262075;6438100;7021055;6772650;6985440;6246125;6567165;5740030;5808965
1851406: Cartaxo;3960830;4204330;5917960;4809840;4890415;4760025;4901840;5405985;4691490;4372935;3348280;4326505;4829380;4877865;6107500;5272950;5226475;4929335;5094935;5434970;5116545;5305725;4810130;5013755;4462195;4548395
1851407: Chamusca;1291115;1387525;2004095;1601165;1728155;1673085;1764545;1888730;1589340;1537565;1233015;1494930;1589850;1592695;1985005;1796710;1709710;1696370;1754880;1787050;1815305;1905405;1648835;1743440;1500055;1571930
1851409: Coruche;2523860;2724320;3990820;3209140;3300190;3208630;3413570;3394510;2961270;2759250;2110960;2596570;2969310;2989710;3741060;3240010;3224660;3135010;3475660;3397190;3154920;3293970;2925440;3108730;2758800;2852000
1851412: Golegã;869310;978830;1405780;1226060;1228960;1152345;1170460;1280080;1162965;982195;786400;1000275;1112825;1133380;1397805;1937415;1305815;1222940;1218180;1343485;1260935;1293080;1178310;1180990;1073600;1075710
1851414: Rio Maior;3561250;3769620;5542480;4558100;4775200;4680630;4975950;5244990;4618990;4060430;3096630;4243710;4746420;4812600;5993070;4982350;5175790;4978730;5103080;5507570;5116280;5245960;4892520;5076000;4297910;4393300
1851415: Salvaterra de Magos;3239570;3297940;4865670;4051790;4184350;4025050;4223410;4455970;3835410;3597530;2846160;3437580;3777370;3669530;4563360;3955330;3987510;3663040;4315330;4270500;4060030;4185710;3779540;4076050;3536760;3529660
1851416: Santarém;9301165;9944380;14739635;11987685;12497165;12051305;12209640;13384245;11718495;10287610;7674710;10472350;12691415;12859995;16149180;14070045;14063725;13063145;13287255;14408745;14507720;14228260;12690765;13432085;11860275;12328760
1861201: Alter do Chão;545220;578880;847640;745610;733290;707080;855430;840150;650200;560040;449830;586580;631730;621350;752290;696710;659020;628040;774290;729730;642130;661120;681790;639150;528400;549120
1861202: Arronches;473860;551420;787190;609360;668140;656850;728090;751430;584930;529020;384630;479190;544210;551510;702790;595810;594080;568790;675400;662510;599470;598980;551210;535190;421000;432500
1861203: Avis;657740;695560;1000535;862205;856270;836900;950540;986805;835640;759510;621275;752315;773280;751100;1003380;862535;852905;840210;922475;1021405;820730;883155;777055;802615;709520;748755
1861204: Campo Maior;1596110;1572050;2382700;2032680;1880740;1812440;1843440;2079320;1773410;1665500;1274560;1663370;1904730;1781460;2288625;2004340;1881760;1889850;2084335;2164060;2024910;2085685;1851725;1916550;1698270;1726700
1861205: Castelo de Vide;526560;553840;856440;787720;807440;815760;1054260;865840;695340;544300;382590;523860;677610;595900;755560;623350;644400;731500;963430;835150;764560;702120;739760;658210;587510;516550
1861206: Crato;523510;579520;862075;701485;783835;794925;860855;800635;635550;597395;464205;509230;577800;557190;629770;633145;618225;608965;1018220;700255;617400;621785;579990;552325;501050;507240
1861207: Elvas;3558705;3777975;5673605;4826985;4904185;4626240;4899095;5186770;4578480;4105425;3196675;4147935;4870125;4836225;6066980;5312310;5200815;5357325;5370985;5674190;5331095;5394035;5001220;4971300;4460065;4545575
1861208: Fronteira;450325;504600;733165;650080;655385;640355;737885;756535;627210;597110;467200;539700;588660;579485;748600;705060;671435;628570;761480;744830;677260;644685;611470;605395;534520;534470
1861209: Gavião;601950;635500;885460;784410;832420;788090;904120;880930;805250;715880;545960;654010;666760;651470;861680;754110;768670;704460;860790;859030;726280;733580;709780;694830;615070;613240
1861210: Marvão;357300;398470;562120;496970;517810;516180;627930;620290;480690;429650;349250;434160;497550;484340;579830;531440;561650;521460;660250;623080;529930;544790;534050;493900;437680;463200
