Freguesia;Fevereiro de 2021;Janeiro de 2021;Dezembro de 2020;Novembro de 2020;Outubro de 2020;Setembro de 2020;Agosto de 2020;Julho de 2020;Junho de 2020;Maio de 2020;Abril de 2020;Março de 2020;Fevereiro de 2020;Janeiro de 2020;Dezembro de 2019;Novembro de 2019;Outubro de 2019;Setembro de 2019;Agosto de 2019;Julho de 2019;Junho de 2019;Maio de 2019;Abril de 2019;Março de 2019;Fevereiro de 2019;Janeiro de 2019
11A0104: Arouca;2757105;2966395;4285765;3236955;3312155;3084220;3906505;3747040;3334095;3040940;2494025;2938370;3372170;3289870;4248335;3604740;3698855;3911495;4409770;4058640;3800780;3793760;3577165;3585025;3225720;3355380
11A0107: Espinho;5950020;6859390;10401970;8210590;9142770;9094810;10043580;10256540;8315860;6897240;5258250;7305520;9214630;9337540;12016860;9769730;10019420;9684520;11221780;11353695;10259090;10430880;9690290;9925180;8954670;9020260
11A1304: Gondomar;22510225;23425140;33081300;26449225;27905935;26696055;27798810;29920510;25088625;24087785;19378960;23002540;25821605;25757120;33350765;27771040;27698040;26368410;27398275;29600020;27569280;28269565;25870350;26810905;24213720;24308905
11A1306: Maia;21200800;22835150;32005125;25430175;27114445;26156750;26711740;29541570;24870335;23099610;18071595;23826315;28600875;28637745;36573275;30717725;30850025;29468675;30419025;33070065;30847320;31528775;29491365;30292355;27018575;27537155
11A1308: Matosinhos;30530785;33470705;49396790;38984915;41544365;40332605;40669810;45689065;38229945;32982335;25242040;34959205;43327390;43385810;56773120;46889355;46751610;44383310;45457955;50422695;48075705;48846810;44596205;45987670;41675120;42191910
11A0113: Oliveira de Azeméis;8761820;9139230;12522410;9971100;10814640;10589590;11082660;12109750;10338300;9926400;8348680;9527010;10667960;10498470;13698800;11076690;11621770;10612260;11632765;12045460;11065465;11710515;10493020;10928970;10000040;9955775
11A1310: Paredes;13111320;13695530;18713985;14808460;15872410;15350530;16331200;16501080;14687325;14316280;11880675;13592975;14952510;14818540;18516220;15357440;15438260;14860335;16272775;16622865;15621235;16083465;14868445;15199015;13635705;13733795
11A1312: Porto;51389615;56795015;80204200;66801525;70314000;68133140;63332500;74973820;61952175;54629610;39049365;61070470;78845040;78881935;97420205;83525790;85583760;79526925;73705765;89667135;82089565;88360980;79826125;83687115;77069895;78404005
11A1313: Póvoa de Varzim;12161470;13149190;18172220;14755030;16095400;15718050;18589070;18221910;15085150;13028240;10142750;13159560;16648360;16463640;20521620;16865850;16974140;16591100;20576330;19341550;17378140;17602710;16409640;16544820;15097200;15521680
11A0109: Santa Maria da Feira;22646440;23673280;33060000;25581160;27179940;26142660;27856405;29279540;25331945;24580960;19642450;23296705;26454895;26378910;33607830;27601115;27962745;26137395;30586435;30227680;28177805;29255065;26538415;27756655;24902595;25343270
11A1314: Santo Tirso;11545365;12185150;17102090;13394510;14189750;13734995;14658070;15512430;13307180;12546730;10506465;12447490;13744465;13881670;17709925;14490190;14684110;14058205;15219125;16001765;14736955;15198675;14433500;14457425;13079790;13287220
11A0116: São João da Madeira;6921335;7488415;11833020;8561910;9232995;8773175;9293515;9747675;8326310;7614830;5768965;7476540;9359595;9269210;12742815;9790005;9727800;9440085;10463630;10775490;9919840;10268645;9293785;9589310;8409950;8771650
11A1318: Trofa;6886495;7140445;10031975;7877665;8377235;7883345;8141350;8665530;7583565;7246925;5543605;7101845;8354630;8184560;10382910;8483125;8849745;8331620;9055220;9218305;8857465;9052695;8344690;8821305;7873975;7666165
11A0119: Vale de Cambra;4103045;4468705;6726300;4902070;5226640;5025340;5731455;5762970;4887790;4732095;3779250;4395965;4994650;4979115;6484490;5029035;5069745;4796855;5935670;5489520;5255750;5263590;4827525;5035535;4432665;4410490
11A1315: Valongo;14416040;15265740;21537740;17078830;17798640;17271620;17578170;19291380;16460600;15490580;12199220;15326220;17516890;17145750;22089830;18291110;18188460;17173100;18332330;19590180;18350290;18974725;17229280;18019330;16172630;16384645
11A1316: Vila do Conde;13536340;14084925;19986345;16366105;17568585;16755910;18150815;19776310;16825980;15273780;11784855;14122740;16403815;16360310;20666190;17922585;17915190;17318245;20305445;19917110;18176445;18361270;17275735;17641280;15335675;15868715
11A1317: Vila Nova de Gaia;47179770;50544985;70880065;56771720;59504765;58133205;59639260;65905805;55120565;51643325;39995655;50721235;59612555;59830860;76318445;63334980;63481115;60282180;64040530;69773970;64268405;65444860;60282470;62319215;56223995;57104665
11B1702: Boticas;569600;640130;880370;708560;755440;672990;686870;648700;568620;517440;416280;462670;524030;621690;676380;569120;565690;551000;805520;641570;549070;599310;494105;551155;467180;571890
11B1703: Chaves;5989220;6425820;8846200;7408990;8152610;7908870;8878170;8632820;7416500;6617320;4852000;6559460;8018580;8008680;9665560;8630320;8679820;7851940;9650960;8964890;8118080;8446640;8206500;8045815;7117625;7393635
11B1706: Montalegre;1216710;1347910;1751010;1577400;1534730;1595810;1967440;1750570;1421980;1381820;1019420;1193910;1328730;1556010;1653940;1463420;1453130;1459490;2045730;1714220;1502090;1487020;1414050;1394540;1224790;1440810
11B1709: Ribeira de Pena;956660;1024740;1335200;1154980;1213740;1082030;1233120;1147160;992690;913000;715820;856780;943780;948770;1106980;971670;998150;939570;1150360;1037230;916670;955050;869660;891610;785730;814300
11B1712: Valpaços;2045895;2227395;3003480;2588525;2586990;2450950;2755260;2534125;2139810;2098970;1636645;1957540;2193460;2159980;2660205;2363080;2295965;2117350;3083895;2501980;2113180;2300085;2332225;2164410;1930745;2055715
11B1713: Vila Pouca de Aguiar;1610310;1738230;2368460;1964980;2133490;2123190;2409830;2119670;1830190;1649850;1276360;1572130;1713530;1754010;2039850;1793370;1861820;1693690;2273035;1969360;1563120;1611830;1540300;1588595;1360570;1436820
11C1301: Amarante;7708380;8174760;11538600;9272230;9910790;9800720;11228650;10518215;9221160;8522150;7035385;8272635;9593650;9544300;12093360;10051605;10019635;9550940;11579585;10967805;10256945;10365150;10069970;9909925;8827290;8973380
11C1302: Baião;2055140;2227040;3031130;2428680;2494070;2346190;2792970;2695970;2372000;2322710;2054130;2123100;2311160;2277760;2792320;2304320;2389900;2308390;2985140;2681970;2429030;2415110;2420550;2451380;2104380;2172750
11C0106: Castelo de Paiva;2235050;2489610;3582260;2596020;2581900;2551370;2844560;2777690;2446430;2284310;1871270;2191780;2478280;2448670;3172980;2686230;2577830;2454820;2804500;2778290;2487650;2502120;2434580;2423580;2174960;2302470
11C0305: Celorico de Basto;2204090;2347090;2986480;2356530;2523760;2417470;2809250;2520320;2261230;2185930;1874230;1989600;2148630;2184540;2657820;2348920;2201420;2025440;2707240;2424400;2246410;2275820;2171580;2160960;1919310;1993540
11C1804: Cinfães;2268680;2455400;3233250;2568330;2740460;2748250;2956090;2679570;2336890;2420470;2156590;2119160;2284540;2366690;2739550;2240540;2478880;2327590;3032390;2748740;2389880;2354780;2263450;2358320;2049380;2142460
11C1303: Felgueiras;11428980;11755475;16458235;12309115;13238125;12929850;14448975;13847535;12011570;11826980;9980380;10902045;12574010;12527615;15773450;12863960;13133890;12595045;14337790;13444585;12663905;13101035;12563380;12851895;11590270;11931225
11C1305: Lousada;7700790;7852690;10729360;8387660;8555590;8641030;9501050;9624200;8539740;8208860;6961940;7523560;8584850;8561150;10837750;9090620;8889090;8338980;9716720;9301300;8962420;8914300;8433710;8699420;7763510;7894050
11C1307: Marco de Canaveses;7788310;8357930;11699430;8851920;9434800;9012170;10290020;10016540;8688260;8172430;6854060;7767280;8931520;8892810;11419620;9270520;9369080;8902440;10508450;10037680;9348990;9344400;9388030;9111340;7996770;8425600
11C1309: Paços de Ferreira;9749820;9883170;13738070;10458250;11120300;11292160;12085240;12076300;11057320;10209000;8248000;10052870;11590050;11333810;14155930;11914360;12245460;11640380;12708550;12812640;12143030;12405710;11622910;12071820;10664230;10699300
11C1311: Penafiel;11918940;12738520;17538955;13887765;15117450;14911235;16082285;15876665;13922770;13344775;10636730;12645525;14421875;14619480;18086755;15683310;15119695;14488725;16591140;15994255;14954795;15317185;14554285;14802755;13035360;13543745
11C1813: Resende;1115565;1247250;1762415;1452325;1511030;1512750;1911860;1736235;1457645;1364090;1001685;1203625;1379190;1432700;1795385;1471235;1466735;1462950;1831430;1618470;1501945;1484980;1461480;1406150;1231315;1313195
11D1701: Alijó;1457800;1530435;1954025;1596255;1799320;1926510;2134995;1987630;1734215;1622015;1306335;1620320;1708570;1689945;1949635;1795780;1804945;1783760;2199140;2029280;1706385;1778950;1722505;1779245;1518010;1601955
11D1801: Armamar;482110;499300;684070;539680;502340;380470;674450;656090;570090;512660;417170;478010;522670;571950;646100;537130;596200;525890;668650;601290;523260;527260;546440;518880;466670;505515
11D0403: Carrazeda de Ansiães;503910;540390;704655;595145;613475;769760;929400;834265;786825;681230;521785;585355;696850;674700;779135;680900;721660;727775;947630;773325;646310;639045;672835;632355;520935;554970
11D0404: Freixo de Espada à Cinta;334430;353510;485380;385000;465420;469530;529950;460240;409250;400050;309290;381080;415210;394710;457600;455680;412390;444470;528660;438970;409680;384940;408490;390080;338185;365295
11D1805: Lamego;3457865;3767505;5260595;4437035;4649225;4608700;5186535;4808965;4193080;3772700;2882860;3474295;4083730;4174090;5152520;4355625;4418365;4639370;5261365;4541870;4150020;4486130;4158530;4028685;3617000;3775950
11D1704: Mesão Frio;585410;611500;865450;689180;738220;689010;848490;789260;740430;668250;585970;577070;603130;634780;782410;648770;660660;626830;784360;712040;634350;642130;660900;621390;549020;608050
11D1807: Moimenta da Beira;1237295;1288845;1949355;1611850;1728685;1693650;1973060;1723890;1419475;1197475;952660;1191525;1352210;1407955;1661625;1438445;1488500;1372200;1913800;1652325;1375425;1503410;1451180;1363635;1203715;1299015
11D1707: Murça;650730;667550;877730;732140;774000;795780;850930;852220;759310;725910;605860;694020;740350;805840;956580;801670;822460;772610;975910;903910;772540;836780;786680;776070;723580;730760
11D1812: Penedono;363700;395990;539670;460330;474190;398510;493740;429710;351270;334290;252460;282680;301830;310650;363745;316150;332285;305610;448590;409920;305590;315585;306345;315760;259550;288195
11D1708: Peso da Régua;2778900;2952540;4195310;3292530;3558700;3506680;3918890;3786740;3326800;2959980;2320740;2916340;3485340;3503390;4372980;3584330;3745600;3552960;4197070;3987870;3572280;3734660;3523660;3510030;3136740;3304290
11D1710: Sabrosa;726430;757845;1015920;887585;894805;724480;800530;747445;726880;714980;566920;610795;638850;671845;753580;695900;701420;703470;869660;775620;651525;674145;677325;687130;594010;619160
11D1711: Santa Marta de Penaguião;516540;516540;715030;633620;670260;656880;676780;708880;629130;607810;559830;571600;549650;623880;661320;587150;625220;585610;659860;640320;594960;599870;574230;585520;513420;577560
11D1815: São João da Pesqueira;787550;777080;1084730;948710;993540;1008900;1204680;1076170;973940;929090;743590;876240;888630;919770;1050425;925590;915405;916790;1194010;1038935;970340;985695;952885;936745;826185;865125
11D1818: Sernancelhe;569310;575460;817200;674450;688210;582665;790075;575775;469685;451765;354205;429135;480610;507160;554610;462645;527410;455370;649800;563480;471390;470950;435515;458820;386535;425730
11D1819: Tabuaço;396730;419710;544140;449810;493995;519095;588575;582535;501750;520790;402215;430610;445785;462375;549390;480060;514410;465345;568780;514910;476720;497170;481580;480135;415530;450755
11D1820: Tarouca;833190;887615;1234265;1066220;1047815;1045655;1194925;1063605;971380;922665;714640;799250;841890;890630;1075115;967110;970570;936645;1286910;1121515;967870;1090445;1043170;971720;831295;894445
11D0409: Torre de Moncorvo;942940;1051880;1426260;1160810;1212070;1107420;1332980;1291070;1108080;1038510;780300;989770;1055230;1049850;1290140;1116360;1125160;1041570;1384030;1181620;1063790;1122880;1153030;1056210;943310;961310
11D0914: Vila Nova de Foz Côa;831190;854940;1163970;1068750;1136640;1237200;1360660;1209760;1088410;1016600;683320;966500;1072650;1013710;1244750;1100750;1112050;1145880;1360080;1091270;1032570;1102035;1080505;1127165;924710;915805
11D1714: Vila Real;8634250;9542130;13505640;11028265;11819880;11068815;11824390;12237105;10425940;8854465;6678425;9369300;11612410;11783810;14475995;12236250;12466215;11601420;12695060;13005045;12263700;12506815;12024490;11851980;10593555;11104735
11E0401: Alfândega da Fé;454830;507310;706320;628410;657980;666150;742160;625450;659210;593360;407600;507270;603150;582530;759330;693780;684480;634520;803930;714380;671360;636180;652550;612910;528720;566800
11E0402: Bragança;5355965;5916565;8464565;7018040;7238460;6851615;7242310;7383915;6525480;5579360;3981190;5968865;7303710;7509985;8997015;7799970;8041150;7233825;8253595;8028465;7443365;8216495;7796385;7641520;6869230;7080845
11E0405: Macedo de Cavaleiros;1798380;1952560;2735430;2216190;2287740;2332710;2704410;2588240;2239110;2068720;1484880;1926270;2402790;2372920;2968380;2459570;2440100;2230200;2986110;2611600;2250570;2335720;2299630;2315610;1992910;2151295
11E0406: Miranda do Douro;851750;871880;1346700;1107110;1225050;1249970;1574070;1213090;1229000;1065730;750570;997140;1207120;1126910;1498030;1276860;1373610;1231730;1802680;1348830;1239470;1220010;1304190;1247250;1081490;1075850
11E0407: Mirandela;3293795;3609855;5127185;4205655;4481355;4265265;4785255;4625115;4117830;3730270;2829550;3696415;4374175;4455105;5555535;4814980;4693985;4318965;5515355;5077770;4421110;4658130;4491390;4465895;3963175;4239500
11E0408: Mogadouro;981100;1065870;1549170;1288410;1364810;1392120;1628160;1476570;1288690;1112520;813450;1105300;1306930;1349970;1642150;1492820;1505300;1270130;1781440;1492270;1324360;1416240;1384860;1338890;1172130;1279630
11E0410: Vila Flor;880110;915090;1335340;1144570;1149920;1066580;1155075;975925;858290;861800;678870;784505;860185;810335;1003780;892395;893660;818765;1163950;921930;864125;876180;851905;861765;768795;769980
11E0411: Vimioso;389550;416850;545860;505640;492780;485640;686090;577790;514120;493340;351910;413940;500390;497460;636730;513480;523060;474490;790870;575890;515130;529270;555580;507700;437740;424380
11E0412: Vinhais;719420;758230;1038070;860050;908260;919800;1059270;964780;899220;770640;599145;734185;970000;880220;992475;802970;909230;864220;1110685;939000;822085;918370;880165;847495;869290;788885
16B1001: Alcobaça;8280905;8686025;12884590;10425830;10864335;10741140;12362975;12591320;10548060;9742145;7342110;9445905;11219990;11125795;13869035;11441010;11910355;11513290;13256295;13245285;11729150;12209275;11257190;11867330;10592855;10624695
16B1101: Alenquer;6180560;6641090;9449790;7891875;8205980;7760020;7710050;8731675;7842360;7215690;5710770;7282200;8066735;8164270;10190160;8726810;8846925;8382170;8281335;9034790;8909000;9151025;8118785;8726685;7654535;7812410
16B1102: Arruda dos Vinhos;2044580;2155970;3074300;2488830;2662400;2538550;2491050;2739950;2399760;2247600;1775450;2299230;2487430;2470740;3016370;2657340;2720860;2543070;2606420;2760100;2739450;2727270;2502360;2684460;2345700;2300950
16B1005: Bombarral;2039120;2178670;3009580;2566220;2709560;2524810;2557510;2690980;2315860;2250570;1746830;2233460;2461250;2434750;2980980;2560480;2607750;2454820;2863430;2817470;2553990;2623530;2409720;2467790;2269680;2261250
16B1104: Cadaval;1707230;1831180;2560770;2047650;2231840;2202040;2526420;2417940;1990650;1961480;1559810;1825560;1987110;1999040;2513500;2021570;2119060;2048170;2412100;2304680;2047900;2161290;1923710;2104310;1848830;1930080
16B1006: Caldas da Rainha;8068720;8698375;12944675;11064320;11456130;11286500;12273375;12461580;10870230;9474420;6903545;9681970;11961455;11921640;15137460;12691220;12997100;12414405;14287265;14367250;12767915;13164925;11981610;12675965;11294125;11597660
16B1108: Lourinhã;3838130;4176695;5807160;4941205;5159435;5188070;5942375;5907305;4965855;4619370;3450895;4427780;4925350;4984820;5996900;5169850;5462190;5421670;6410950;6199290;5462755;5454015;5094545;5219865;4583190;4659460
16B1011: Nazaré;2265230;2451585;3628985;3003315;3396590;3950665;5558450;4695855;3575000;2815680;2045770;2562990;3408970;3107530;4072830;3310630;3551030;4326670;6593945;5381415;4017345;3690915;3316350;3611010;3131690;3027760
16B1012: Óbidos;1646975;1693820;2468815;2080425;2228555;2231650;2516255;2462180;2048440;1828300;1495395;1898680;2074245;2108845;2784885;2173580;2235265;2168690;2739855;2607820;2225625;2324725;2137660;1995595;1707920;1815780
16B1014: Peniche;4263460;4537790;6680880;5631330;5862540;5970130;7311800;7238310;5883110;5152920;3742910;4805670;5721410;5597050;6955710;6008140;6164000;6396730;8875570;7757700;6447740;6276180;5798310;6067940;5309780;5417300
16B1112: Sobral de Monte Agraço;1524020;1624350;2238840;1911285;1954075;1829930;1792985;2013070;1771115;1765475;1406585;1677405;1803460;1786610;2197350;1859470;1881420;1943980;1880280;1963010;1873350;1946940;1760315;1822810;1632410;1703425
16B1113: Torres Vedras;12036175;13056055;18828500;15774200;16428875;15910185;16693040;17634115;15193260;13817575;10179920;13822595;17228005;16478960;20251345;17004755;17532310;16992425;18544265;19815720;17606345;18000500;15998530;17516135;15436605;15474060
16D0101: Águeda;7322550;7568400;11032430;8634465;9343660;8812835;9336785;9874935;8609005;8335765;6807615;7947665;9114085;9075220;11939125;9685755;9926965;9265365;10066690;10912425;9822980;10505705;9342915;9853210;8704845;8703695
16D0102: Albergaria-a-Velha;4487830;4772470;6681615;5342965;5627935;5291460;5692130;5997995;5264580;4813865;3679390;4791805;5510735;5496320;7076785;5876610;5948210;5533910;6275735;6209335;5544095;6080605;5706370;5820375;5214775;5258335
16D0103: Anadia;3536270;3699060;5304150;4295230;4410370;4303560;4594580;5005240;4341380;4057420;3297280;3962990;4551770;4558280;5712370;4670810;4867270;4511930;4885660;5064140;4770010;4807030;4472150;4614600;4059300;4166790
16D0105: Aveiro;13488910;15044985;22341030;18344785;19244660;18844175;19992640;20922905;17644045;15718530;11457060;16299185;20807255;21032135;26377875;22207485;22594300;21433565;22617715;24334090;22684090;23590670;22413600;22412500;19875605;19975345
16D0108: Estarreja;4164350;4548690;6503875;5124915;5421605;5259560;5646565;5879415;5252660;4956135;3799995;4625955;5322335;5278285;6895340;5527025;5612740;5264060;5893605;6023290;5659820;5787740;5253105;5455955;4813255;4819885
16D0110: Ílhavo;5630825;5974465;8331595;6819210;7294815;7361920;7801395;8150935;7063030;6440275;4931935;6101445;6988435;6854065;8566485;7179835;7391405;7261680;8579015;8373445;7509510;7623915;6867690;7105640;6292240;6256430
16D0112: Murtosa;1385900;1483160;2029520;1765260;1979260;1985840;2541260;2302720;1900420;1741680;1269090;1532740;1639130;1657140;2006020;1788050;1898990;2195470;2757450;2240930;1972410;1931000;1682950;1741060;1508950;1568990
16D0114: Oliveira do Bairro;3365670;3581025;5084810;4051220;4242130;4159975;4578560;4810715;4104620;4036925;3256385;3871460;4267225;4267995;5495415;4540810;4668925;4438955;5007695;5074495;4634320;4807585;4284095;4482950;3943730;4025190
16D0115: Ovar;9505540;10149175;14793145;11609390;12468005;12253560;13553090;14230480;11692970;10152500;6919710;8995020;12253695;12012795;15602395;12670585;12782335;12623230;15043695;14590120;13223365;13319345;12225735;13102365;11488005;11509190
16D0117: Sever do Vouga;1512840;1537850;2298090;1737930;1857150;1794000;2070120;2055910;1903590;1786340;1370910;1692580;1899190;1874400;2399970;1865880;1912700;1798720;2079290;2074850;1900120;1941880;1821720;1823480;1666710;1675240
16D0118: Vagos;2760850;2842710;3928280;3216920;3407350;3358060;3980710;3920320;3337980;3213550;2477630;2870775;3199150;3169460;3996045;3307760;3429415;3293600;4234420;3827980;3502365;3440160;3192215;3343020;2892315;2981200
16E0601: Arganil;1683925;1706945;2610000;1970175;2120245;2056255;2586750;2328655;1803775;1655590;1296730;1495635;1666180;1685680;2056570;1732245;1809760;1828055;2544775;1974415;1870825;1828510;1788150;1721895;1509080;1554235
16E0602: Cantanhede;5405320;5702415;8265815;6935765;7216850;6945650;8101760;8026470;6950725;6411765;4969280;6087835;6862900;6906060;8774160;7439200;7478745;7032970;8934975;8737690;7417570;7523930;7275790;7317770;6451130;6595475
16E0603: Coimbra;21654735;24187285;37944770;30953860;32644410;30301460;28981555;32942520;28512600;24141535;17958370;27284685;35295325;35394000;44622595;38187235;39520200;35636395;33146890;39384080;37534985;40205945;36352260;37412095;34354290;34296370
16E0604: Condeixa-a-Nova;2250200;2267960;3502500;2699330;2874830;2707440;2884200;2871930;2557940;2291460;1813620;2336270;2673430;2771760;3486190;2826080;2928590;2833420;2891120;3145990;2895510;2952190;2801160;2754970;2463980;2536010
16E0605: Figueira da Foz;8999685;9655210;13814050;11320300;12728095;12879060;15980610;15366300;12635330;10779050;8201590;10706430;13200475;12937950;16188495;13647295;14029635;13946800;18170850;17108040;14537675;14452020;13747100;13907545;12167945;12420405
16E0606: Góis;409080;419940;685890;548360;582440;617510;860910;742860;586510;540240;417420;489810;495720;507120;581250;543060;540030;549520;1055780;653110;551040;525970;527980;526040;425650;431210
16E0607: Lousã;2231400;2347260;3548790;2954220;2955450;2909480;3060660;3080840;2718930;2463410;1871080;2375120;2813890;2751820;3564890;3046510;3027380;2856570;3127800;3222110;3153290;3081930;2836400;2839470;2567200;2519030
16E0111: Mealhada;3408615;3442440;5048360;4046500;4364065;4114485;4389050;4543690;3882255;3546455;2803605;3476010;4148615;3992725;5166010;4313090;4408655;4100445;4682560;4782115;4555750;4492370;4165395;4293875;3795485;3838705
16E0608: Mira;1450485;1567565;2285365;1869535;2031320;2219270;3223670;2826710;2144045;1806680;1320775;1638965;2019930;1922495;2454770;1945455;1991580;2167200;3490705;2855280;2179550;2158020;1951200;1961710;1661490;1693925
16E0609: Miranda do Corvo;1413055;1453110;2135780;1669330;1790655;1734805;1884320;1933220;1643925;1439550;1207290;1363060;1580360;1558235;2030455;1651100;1705035;1544495;1682200;1809260;1664710;1677070;1590475;1582625;1452270;1488185
16E0610: Montemor-o-Velho;2501745;2738790;4109430;3285665;3477710;3369565;3513890;3830995;3343055;3017660;2423755;2876420;3202395;3074125;4087290;3407455;3404240;3424705;3784045;3759020;3528615;3517230;3359495;3349360;2973460;3061190
16E1808: Mortágua;1339135;1415660;1988620;1595870;1703075;1630820;1839770;1617110;1436290;1303130;1038285;1304405;1422605;1445020;1744775;1495595;1611280;1467200;1803770;1604265;1485160;1541500;1446405;1447235;1281570;1335550
16E0611: Oliveira do Hospital;3193330;3280050;4738430;4037520;4102850;3975760;4609280;4310770;3736910;3379520;2609060;3324080;3795890;3843020;4834690;3980760;4078950;3907020;4694610;4438410;4025110;4120570;3950990;4089620;3549570;3729110
16E0612: Pampilhosa da Serra;521910;515300;751260;657500;726460;628875;1006645;756795;674270;575690;445115;474100;493020;506610;716235;599105;635895;655190;1192330;784040;644325;597480;600785;610665;492850;524640
16E0613: Penacova;1156890;1182450;1747830;1352590;1398650;1276180;1533880;1479190;1358090;1313660;1060520;1259650;1345700;1347030;1603110;1443630;1484610;1332600;1566500;1502860;1401420;1403910;1352630;1337660;1190870;1222230
16E0614: Penela;623230;668230;994870;816025;908920;737880;739670;782045;628850;627385;526815;580625;668000;660405;873650;720345;739195;750520;804685;777945;696305;718380;668260;713605;597715;628495
16E0615: Soure;2234930;2413720;3563620;2751630;2896410;2628810;2821220;2786910;2458050;2347420;1885940;2232700;2503610;2517310;3134950;2720350;2785760;2771080;3004340;3017150;2778260;2802550;2621950;2716080;2340520;2397290
16E0616: Tábua;1503090;1551695;2326090;1988770;1968405;1952585;2099710;1873370;1658500;1558340;1179100;1458950;1702560;1629240;2141430;1898050;1838705;1832215;2062410;1993925;1891710;1864065;1812370;1840635;1566765;1604495
16E0617: Vila Nova de Poiares;1104840;1040480;1536990;1273890;1280070;1203150;1242490;1269030;1097520;1042730;790300;958170;1088010;1038800;1346330;1140570;1126140;1169690;1273970;1211490;1136450;1091030;1046220;1065860;976020;1007750
16F1002: Alvaiázere;837975;842810;1243860;1042050;1154915;1163635;1336220;1323040;1119910;1095575;768670;983095;1080220;1058980;1313530;1133055;1224280;1110470;1383870;1272840;1106170;1135960;1042105;1106025;969920;1020980
16F1003: Ansião;1879715;1959110;2854690;2394490;2570435;2368440;2639660;2609695;2273300;2134740;1642975;1984790;2270695;2295895;2719940;2380405;2507225;2352320;2780425;2577750;2388680;2433995;2269820;2352720;2068655;2205355
16F1004: Batalha;1712740;1923000;2867460;2324020;2494620;2440350;2641900;2611750;2289710;2049100;1496180;2086260;2460090;2462440;3090200;2586850;2748340;2630960;2954940;2896320;2724400;2828240;2576130;2658090;2416210;2462250
16F1007: Castanheira de Pêra;454690;490700;669595;571160;603465;538750;528990;470235;409850;368650;278230;311545;350925;323085;396555;339825;342030;346160;507835;415870;324075;344015;337740;289205;299010;286835
16F1008: Figueiró dos Vinhos;690855;666310;1089175;855390;908360;903840;1060980;969860;864475;826055;610230;753120;810225;752525;977730;840330;873935;852260;1045640;967475;895390;874860;819120;878705;721435;747165
16F1009: Leiria;18207835;19881650;29495925;24292915;25644315;23641725;24921580;26068525;22697240;20187165;15160345;20907195;25775850;25763650;31989855;27097665;28033125;26262305;28248720;29247495;27323270;29610080;26543630;27163375;24256195;24731015
16F1010: Marinha Grande;6811240;7198690;10562465;8560235;9073650;8732130;9669490;10215785;8406345;7549810;5838290;7536915;8896415;8913930;11387385;9137270;9732545;9471260;10988775;11085360;9736105;10112300;9318115;9512785;8610485;8743815
16F1013: Pedrógão Grande;512690;569460;814210;738540;784270;775550;1002540;879710;762410;626890;474590;590440;619540;610490;712490;672300;698420;638600;879070;783030;668670;621510;619610;621090;554830;556610
16F1015: Pombal;7368210;7923735;11410035;9343210;10136500;9540270;10847385;10747830;9421325;8550160;6399920;8581450;10069470;10131850;12418775;10579445;10867040;10241820;12223645;11747795;10662025;11072255;10389225;10521200;9293675;9573640
16F1016: Porto de Mós;3722600;3863690;5491910;4626740;4834940;4481590;4746720;4849720;4313240;4076990;3204500;3975450;4510230;4416090;5598970;4518010;4690650;4482090;5012630;5169470;4642820;4800355;4359635;4541455;4029155;4086930
16G0901: Aguiar da Beira;615930;615730;924920;784080;787750;782360;1078940;742550;672880;620900;477300;553550;606980;603450;718990;628730;650260;582460;943660;793220;621210;664020;669190;623130;533020;603010
16G1802: Carregal do Sal;1360790;1430790;2108690;1703440;1739270;1715250;1889200;1721830;1532120;1422980;1093480;1431830;1627300;1610330;2005690;1645250;1727030;1589310;1953350;1930370;1674970;1732190;1679890;1692620;1446730;1502690
16G1803: Castro Daire;1850245;1943355;2789200;2397710;2645610;2515340;3229485;2654555;2285430;2080195;1503890;1891215;2121440;2255640;2756085;2269240;2393430;2254915;3365575;2705845;2236485;2365160;2289645;2109555;1879540;2043930
16G1806: Mangualde;2773245;2794845;4073865;3158920;3515390;3427350;3773840;3834610;3234800;2951460;2190155;2906175;3369135;3424510;4292300;3684655;3751825;3499405;4119730;3816570;3406330;3585645;3457590;3440385;3114450;3157835
16G1809: Nelas;2072095;2216590;3311305;2659525;2727940;2657375;2933655;2867950;2498875;2320805;1767205;2210475;2560005;2458460;3268655;2643675;2723265;2624290;2940085;2914965;2627955;2689310;2579255;2627265;2269110;2366515
16G1810: Oliveira de Frades;1451945;1577810;2363880;1656460;1788470;1788695;2037340;1915630;1655295;1468725;1176735;1445720;1679805;1613310;2072050;1671855;1711345;1704835;2057050;1946305;1774045;1809945;1749450;1696735;1485980;1592465
16G1811: Penalva do Castelo;640090;638770;1029760;842700;921740;900430;925020;788150;605770;675780;487320;584180;637000;685110;817850;668140;712330;653630;916040;755130;634740;669600;665870;663140;581360;632380
16G1814: Santa Comba Dão;1516240;1573520;2358960;1926655;2030590;2007545;2263410;2100885;1825760;1618100;1307880;1616285;1863840;1846610;2308590;1873785;2007805;1891460;2388750;2167555;1998850;2012280;1971730;1931405;1696380;1755910
16G1816: São Pedro do Sul;1828230;1904965;2834845;2364790;2609005;2660025;3093725;2948985;2517505;2265355;1755350;2170700;2431065;2481395;3031130;2737585;2826695;2758255;3644450;3042100;2727895;2699880;2579390;2563845;2179695;2233215
